t,ur,ui,ir,ii,omega
0.0,-0.08903873129856243,0.979458971781402,-0.19894303040167774,-1.982968736565305,0.0
0.1,-0.08625236291856005,0.978597452452347,-0.1999548702747947,-1.9863694471123625,-0.027452748295018203
0.2,-0.08462307512555263,0.9811692236945747,-0.21679916292685653,-1.9846115775871567,-0.01877307455619759
0.3,-0.08470362077167777,0.9813259496739029,-0.13149428530740198,-2.0437299450415987,0.0006779925560174149
0.4,-0.08503991076164613,0.9827909102096657,-0.2083451658490683,-2.0074830612476102,0.0021193274242325977
0.5,-0.08660577204474712,0.9830542030601545,-0.24684298364314505,-1.9499019724465976,0.015578017339448191
0.6,-0.0839923665146089,0.9842227504594396,-0.1993838717510431,-2.0032001146690104,-0.0273929502205994
0.7,-0.08180065426589332,0.9840179960139173,-0.16951323395632711,-2.0482910336934936,-0.021939838325446548
0.8,-0.08738902086214793,0.9875909152216702,-0.21220447944712478,-2.053757317454476,0.053186645805471944
0.9,-0.08125500938275904,0.9878220646988688,-0.17608963954347706,-1.940154707300919,-0.061852381949898394
1.0,-0.08541278282833478,0.9831481077874678,-0.21908750756438328,-1.9382017598715344,0.04587281137707677
1.1,-0.08693386059078159,0.9829547667733202,-0.18674003027316688,-2.0726108206638894,0.015526118513997655
1.2,-0.08179218533876462,0.9829906541447925,-0.16919733905736,-2.023841560727361,-0.05195592575097052
1.3,-0.08564095763841381,0.9842811021910206,-0.22078289093284978,-1.9931877633350819,0.0377380765506552
1.4,-0.08599847555379278,0.98298734305293,-0.14816704689164165,-1.9284463995572485,0.004746091473339931
1.5,-0.08460328969534862,0.9828798436483338,-0.23006461340783926,-1.948474305160748,-0.013993800155862601
1.6,-0.08694552692327735,0.9831375069210214,-0.16694458444340146,-2.0379727762750868,0.023420187146321325
1.7,-0.0835026080627526,0.9794649078205702,-0.17332796026621852,-2.06925458080849,-0.03159666446453491
1.8,-0.08532397194351053,0.9855289045168372,-0.22694806379446486,-1.920777998845005,0.013138431053336674
1.9,-0.0875889611905695,0.983370640644232,-0.1932512457725297,-1.9800595942136343,0.02474222165998352
2.0,-0.07915823542328082,0.9804289170341609,-0.16497674024788886,-2.0417744063222285,-0.08272089980559949
2.1,-0.09029382450991386,0.9838532254913134,-0.2460351386436096,-1.9969833262259051,0.10955711861909911
2.2,-0.08298167619680441,0.9790012493164925,-0.13605088866918458,-2.0530408370104656,-0.06959888422274352
2.3,-0.0819075273789088,0.9817875264672133,-0.18333307549750785,-1.9366790974158357,-0.013252526741120985
2.4,-0.0920305034447095,0.9851540239211422,-0.2536188690526711,-2.011670344676281,0.09912853964175294
2.5,-0.08221328236374614,0.9810790240166798,-0.16045140038767128,-1.9909745448212406,-0.09543536028678856
2.6,-0.08424347224382614,0.9808543545473744,-0.15324299717313639,-1.967571472187081,0.02074081624031665
2.7,-0.08745590894164813,0.9816197119375546,-0.20377770917378862,-1.9645438354660858,0.03181268027242945
2.8,-0.08452410662378439,0.9790688035730446,-0.2395997203616313,-1.9997842319918882,-0.02741260937946466
2.9,-0.08497358161195084,0.9857545650975755,-0.14798588179139838,-2.0355792273117173,-0.0012860288401328468
3.0,-0.08517680489983691,0.9824670255114799,-0.17956725563731502,-2.0169977066202094,0.004916242370871515
3.1,-0.08693513196308132,0.9855010124390744,-0.22574162871778275,-1.9357728507095788,0.015057719584827822
3.2,-0.08535216390116636,0.9842095520155624,-0.22038289803086752,-1.96477789698604,-0.01481279018779702
3.3,-0.08502430938408176,0.9786733123520184,-0.1752899502042648,-2.0682445167509607,0.0015441122617310121
3.4,-0.09037590900679315,0.9832630577897907,-0.1971386388155419,-2.0233243546169897,0.04997216563917162
3.5,-0.0855920545970973,0.9796813761121542,-0.19155149069530897,-1.9904758502717415,-0.04510782503607036
3.6,-0.09020087127065486,0.977600299436886,-0.23640114731886303,-1.9217531178062466,0.048611767660386995
3.7,-0.08944228237693018,0.978484566265017,-0.1728711361757782,-2.0040424129816614,-0.008514707945046496
3.8,-0.08838750422509097,0.9773160732667925,-0.16034591689763794,-2.0419822066385156,-0.009620168885151603
