within_threshold,final_distance,convergence,perturbation,retcode
true,4.647414453273768e-9,true,"[-0.020313347353487554, -0.012102126093254886]",Terminated
true,9.51497280965441e-9,true,"[-0.21122249792247447, -0.12584047617101268]",Terminated
true,3.899036471466388e-8,true,"[-0.4021316484914614, -0.2395788262487705]",Terminated
true,2.0486593754753812e-8,true,"[-0.5930407990604483, -0.3533171763265283]",Terminated
true,1.9424184483085583e-9,true,"[-0.7839499496294352, -0.4670555264042861]",Terminated
true,1.2407328275898521e-8,true,"[-0.974859100198422, -0.5807938764820438]",Terminated
true,7.968248283418689e-11,true,"[-1.165768250767409, -0.6945322265598017]",Terminated
true,2.9542173596297516e-8,true,"[-1.3566774013363958, -0.8082705766375595]",Terminated
true,6.409082886627004e-8,true,"[-1.5475865519053829, -0.9220089267153173]",Terminated
true,5.4306643182400194e-8,true,"[-1.7384957024743697, -1.035747276793075]",Terminated
true,6.367522731309805e-8,true,"[-0.007781830157676333, -0.02232793443374375]",Terminated
true,2.2573314328866445e-9,true,"[-0.08091712191544027, -0.23217060204185785]",Terminated
true,1.0760003776866256e-8,true,"[-0.1540524136732042, -0.44201326964997195]",Terminated
true,3.2491195733896916e-8,true,"[-0.22718770543096817, -0.651855937258086]",Terminated
true,2.5203545028773533e-8,true,"[-0.3003229971887321, -0.8616986048662001]",Terminated
true,2.903837414969246e-8,true,"[-0.373458288946496, -1.071541272474314]",Terminated
true,2.599156512239631e-8,true,"[-0.44659358070426, -1.2813839400824283]",Terminated
true,5.175673223334343e-10,true,"[-0.5197288724620239, -1.4912266076905423]",Terminated
true,1.9918010352171223e-8,true,"[-0.5928641642197879, -1.7010692752986565]",Terminated
true,6.52660148148243e-11,true,"[-0.6659994559775518, -1.9109119429067705]",Terminated
true,2.6845836664790568e-9,true,"[0.008390891854320279, -0.02210625410533368]",Terminated
true,6.647639771983904e-9,true,"[0.08725027472946663, -0.22986552292849302]",Terminated
true,1.1956919898636897e-9,true,"[0.16610965760461296, -0.43762479175165236]",Terminated
true,2.512623242800771e-8,true,"[0.24496904047975931, -0.6453840605748117]",Terminated
true,9.66869251328717e-9,true,"[0.3238284233549057, -0.853143329397971]",Terminated
true,1.2733410326148942e-8,true,"[0.40268780623005196, -1.0609025982211302]",Terminated
true,1.1627585783102745e-8,true,"[0.4815471891051984, -1.2686618670442897]",Terminated
true,2.4288235866976038e-9,true,"[0.5604065719803447, -1.4764211358674488]",Terminated
true,2.9537261525547365e-10,true,"[0.6392659548554911, -1.6841804046906084]",Terminated
true,7.622224851289161e-9,true,"[0.7181253377306374, -1.8919396735137675]",Terminated
true,1.3750935945466836e-9,true,"[0.02063742231330503, -0.011540811797390176]",Terminated
true,5.039746397983436e-12,true,"[0.21459229814966455, -0.12000381096616239]",Terminated
true,3.729692399367934e-8,true,"[0.408547173986024, -0.2284668101349346]",Terminated
true,3.108862500766918e-9,true,"[0.6025020498223835, -0.3369298093037068]",Terminated
true,7.056116135828461e-9,true,"[0.796456925658743, -0.44539280847247903]",Terminated
