within_threshold,final_distance,convergence,perturbation,retcode
false,0.00036823476311044056,true,"[-1.015118216619637, -0.09087153892323167, -10.000000000226065]",Terminated
false,0.0003740933962798503,true,"[-1.015118216619637, -0.09087153892323167, -9.797979798205862]",Terminated
false,0.0002769955265288522,true,"[-1.015118216619637, -0.09087153892323167, -9.59595959618566]",Terminated
false,0.00016649721469868533,true,"[-1.015118216619637, -0.09087153892323167, -9.393939394165459]",Terminated
false,0.00016207911542182217,true,"[-1.015118216619637, -0.09087153892323167, -9.191919192145257]",Terminated
false,0.00031021506935682033,true,"[-1.015118216619637, -0.09087153892323167, -8.989898990125054]",Terminated
false,0.0003463105899829564,true,"[-1.015118216619637, -0.09087153892323167, -8.787878788104852]",Terminated
false,0.0003276541843206973,true,"[-1.015118216619637, -0.09087153892323167, -8.585858586084651]",Terminated
false,0.0003247990920708735,true,"[-1.015118216619637, -0.09087153892323167, -8.383838384064449]",Terminated
false,0.00016015705826916805,true,"[-1.015118216619637, -0.09087153892323167, -8.181818182044246]",Terminated
false,0.00023581374488633168,true,"[-1.015118216619637, -0.09087153892323167, -7.979797980024045]",Terminated
false,0.0001779160880770096,true,"[-1.015118216619637, -0.09087153892323167, -7.777777778003842]",Terminated
false,0.00023864972230111387,true,"[-1.015118216619637, -0.09087153892323167, -7.575757575983641]",Terminated
false,0.00020111552751911818,true,"[-1.015118216619637, -0.09087153892323167, -7.373737373963438]",Terminated
false,0.0002760198539007675,true,"[-1.015118216619637, -0.09087153892323167, -7.171717171943237]",Terminated
false,0.000247793914403907,true,"[-1.015118216619637, -0.09087153892323167, -6.969696969923034]",Terminated
false,0.00020455067674456602,true,"[-1.015118216619637, -0.09087153892323167, -6.767676767902832]",Terminated
false,0.00030825986293097745,true,"[-1.015118216619637, -0.09087153892323167, -6.56565656588263]",Terminated
false,0.0003707432224164868,true,"[-1.015118216619637, -0.09087153892323167, -6.363636363862428]",Terminated
false,0.0003715523159082128,true,"[-1.015118216619637, -0.09087153892323167, -6.161616161842226]",Terminated
false,0.0002626495442774617,true,"[-1.015118216619637, -0.09087153892323167, -5.959595959822024]",Terminated
false,0.00022731831443762124,true,"[-1.015118216619637, -0.09087153892323167, -5.757575757801822]",Terminated
false,0.00038873389598034574,true,"[-1.015118216619637, -0.09087153892323167, -5.55555555578162]",Terminated
