within_threshold,final_distance,convergence,perturbation,retcode
false,0.0001873147836614222,true,"[-1.0150049714155807, -0.09094358777995681, -10.000000003579602]",Terminated
false,0.00020535241343098667,true,"[-1.0150049714155807, -0.09094358777995681, -9.7979798015594]",Terminated
false,0.000203348462067096,true,"[-1.0150049714155807, -0.09094358777995681, -9.595959599539198]",Terminated
false,0.00021095600124033427,true,"[-1.0150049714155807, -0.09094358777995681, -9.393939397518997]",Terminated
false,0.00018785029820162858,true,"[-1.0150049714155807, -0.09094358777995681, -9.191919195498794]",Terminated
false,0.00020482773248806012,true,"[-1.0150049714155807, -0.09094358777995681, -8.989898993478592]",Terminated
false,0.00022352597481850608,true,"[-1.0150049714155807, -0.09094358777995681, -8.78787879145839]",Terminated
false,0.00020285245737027656,true,"[-1.0150049714155807, -0.09094358777995681, -8.585858589438189]",Terminated
false,0.00019155440037741688,true,"[-1.0150049714155807, -0.09094358777995681, -8.383838387417986]",Terminated
false,0.00020453629632978515,true,"[-1.0150049714155807, -0.09094358777995681, -8.181818185397784]",Terminated
false,0.0002341972530481795,true,"[-1.0150049714155807, -0.09094358777995681, -7.9797979833775825]",Terminated
false,0.00022951103399310274,true,"[-1.0150049714155807, -0.09094358777995681, -7.77777778135738]",Terminated
false,0.0002437427840703886,true,"[-1.0150049714155807, -0.09094358777995681, -7.5757575793371785]",Terminated
false,0.00021221830620311776,true,"[-1.0150049714155807, -0.09094358777995681, -7.373737377316976]",Terminated
false,0.00025954754268362395,true,"[-1.0150049714155807, -0.09094358777995681, -7.1717171752967745]",Terminated
false,0.0002594663410881704,true,"[-1.0150049714155807, -0.09094358777995681, -6.969696973276572]",Terminated
false,0.00026498687615768984,true,"[-1.0150049714155807, -0.09094358777995681, -6.76767677125637]",Terminated
false,0.0002419082287507793,true,"[-1.0150049714155807, -0.09094358777995681, -6.565656569236168]",Terminated
false,0.0002499096597638942,true,"[-1.0150049714155807, -0.09094358777995681, -6.363636367215966]",Terminated
false,0.00027265663078131203,true,"[-1.0150049714155807, -0.09094358777995681, -6.161616165195764]",Terminated
false,0.0002416324706897031,true,"[-1.0150049714155807, -0.09094358777995681, -5.959595963175562]",Terminated
false,0.00027395697078081235,true,"[-1.0150049714155807, -0.09094358777995681, -5.75757576115536]",Terminated
false,0.0002801987889942747,true,"[-1.0150049714155807, -0.09094358777995681, -5.555555559135158]",Terminated
false,0.0002933129040028961,true,"[-1.0150049714155807, -0.09094358777995681, -5.353535357114956]",Terminated
false,0.00033812673413724346,true,"[-1.0150049714155807, -0.09094358777995681, -5.151515155094754]",Terminated
false,0.00031434507116862134,true,"[-1.0150049714155807, -0.09094358777995681, -4.949494953074552]",Terminated
false,0.00034322513878375766,true,"[-1.0150049714155807, -0.09094358777995681, -4.74747475105435]",Terminated
false,0.000303629923611175,true,"[-1.0150049714155807, -0.09094358777995681, -4.545454549034148]",Terminated
false,0.0003148212974062874,true,"[-1.0150049714155807, -0.09094358777995681, -4.343434347013946]",Terminated
false,0.00036091578457615075,true,"[-1.0150049714155807, -0.09094358777995681, -4.141414144993743]",Terminated
false,0.00034620746189547804,true,"[-1.0150049714155807, -0.09094358777995681, -3.939393942973542]",Terminated
false,0.00036634841258225033,true,"[-1.0150049714155807, -0.09094358777995681, -3.73737374095334]",Terminated
false,0.00032200869942238864,true,"[-1.0150049714155807, -0.09094358777995681, -3.535353538933138]",Terminated
false,0.00027210097013882046,true,"[-1.0150049714155807, -0.09094358777995681, -3.333333336912936]",Terminated
false,0.0003170965081878313,true,"[-1.0150049714155807, -0.09094358777995681, -3.131313134892734]",Terminated
false,0.0003538861392983651,true,"[-1.0150049714155807, -0.09094358777995681, -2.929292932872532]",Terminated
false,0.0003495731324940407,true,"[-1.0150049714155807, -0.09094358777995681, -2.7272727308523295]",Terminated
false,0.0001878561711361618,true,"[-1.0150049714155807, -0.09094358777995681, -2.5252525288321275]",Terminated
false,0.00012313532344841786,true,"[-1.0150049714155807, -0.09094358777995681, -2.3232323268119255]",Terminated
true,9.600930413612093e-5,true,"[-1.0150049714155807, -0.09094358777995681, -2.1212121247917235]",Terminated
true,7.503565215685601e-5,true,"[-1.0150049714155807, -0.09094358777995681, -1.9191919227715215]",Terminated
true,7.131046754146989e-5,true,"[-1.0150049714155807, -0.09094358777995681, -1.7171717207513195]",Terminated
false,0.00010437917113389237,true,"[-1.0150049714155807, -0.09094358777995681, -1.5151515187311175]",Terminated
