within_threshold,final_distance,convergence,perturbation,retcode
false,0.0002598635186342276,true,"[-0.2181969686179622, -0.019550264016026733]",Terminated
false,0.000285321495977366,true,"[-0.2305505810644336, -0.02065713725267127]",Terminated
false,0.00026456366960740446,true,"[-0.242904193510905, -0.021764010489315803]",Terminated
false,0.00024141462328742104,true,"[-0.2552578059573764, -0.02287088372596034]",Terminated
false,0.0002753098789981014,true,"[-0.2676114184038478, -0.023977756962604874]",Terminated
false,0.00027982958883008305,true,"[-0.2799650308503192, -0.025084630199249405]",Terminated
false,0.00030248149433538914,true,"[-0.2923186432967906, -0.02619150343589394]",Terminated
false,0.00028362719265114845,true,"[-0.304672255743262, -0.027298376672538475]",Terminated
false,1.089279829744676,false,"[-0.3170258681897334, -0.02840524990918301]",Unstable
false,0.0003072260880917298,true,"[-0.3293794806362048, -0.029512123145827546]",Terminated
false,0.0003104479915440727,true,"[-0.3417330930826762, -0.03061899638247208]",Terminated
false,0.000264047652874046,true,"[-0.3540867055291476, -0.031725869619116616]",Terminated
false,0.0003157143636108267,true,"[-0.366440317975619, -0.03283274285576115]",Terminated
false,0.0002690173721426142,true,"[-0.37879393042209036, -0.033939616092405686]",Terminated
false,0.0003216581125496016,true,"[-0.3911475428685618, -0.03504648932905022]",Terminated
false,0.00027307836191735666,true,"[-0.40350115531503317, -0.03615336256569475]",Terminated
false,0.00032725757049751133,true,"[-0.4158547677615046, -0.03726023580233929]",Terminated
false,0.00027804543042724407,true,"[-0.42820838020797597, -0.03836710903898382]",Terminated
false,0.0003331760317315157,true,"[-0.4405619926544474, -0.03947398227562836]",Terminated
false,0.0003363899514747782,true,"[-0.45291560510091877, -0.04058085551227289]",Terminated
false,0.00029200237556528116,true,"[-0.4652692175473902, -0.04168772874891743]",Terminated
false,0.0002893898396707421,true,"[-0.4776228299938616, -0.04279460198556196]",Terminated
false,0.0003232406965631439,true,"[-0.48997644244033295, -0.04390147522220649]",Terminated
false,0.00026830088079621105,true,"[-0.5023300548868044, -0.04500834845885103]",Terminated
false,0.00026127203385808685,true,"[-0.5146836673332758, -0.04611522169549556]",Terminated
false,0.0003128831452895906,true,"[-0.5270372797797471, -0.0472220949321401]",Terminated
false,0.00028724872095547337,true,"[-0.5393908922262186, -0.04832896816878463]",Terminated
false,0.00028547567310322,true,"[-0.55174450467269, -0.04943584140542917]",Terminated
false,0.0002832780338092844,true,"[-0.5640981171191614, -0.0505427146420737]",Terminated
false,0.00025089046940612294,true,"[-0.5764517295656327, -0.051649587878718234]",Terminated
false,0.0002476424887065758,true,"[-0.5888053420121041, -0.05275646111536277]",Terminated
false,0.0002465881270905937,true,"[-0.6011589544585756, -0.053863334352007304]",Terminated
false,0.00023001830649289478,true,"[-0.613512566905047, -0.05497020758865184]",Terminated
false,0.00023435115164478017,true,"[-0.6258661793515183, -0.056077080825296374]",Terminated
false,0.00023936037375709858,true,"[-0.6382197917979897, -0.057183954061940906]",Terminated
false,0.00024139623013915877,true,"[-0.6505734042444612, -0.058290827298585444]",Terminated
false,0.00024213016525370662,true,"[-0.6629270166909326, -0.059397700535229976]",Terminated
false,0.00018327467334690203,true,"[-0.6752806291374039, -0.060504573771874515]",Terminated
false,0.00024870532477400993,true,"[-0.6876342415838753, -0.061611447008519046]",Terminated
false,0.00024416675720866673,true,"[-0.6999878540303467, -0.06271832024516358]",Terminated
false,0.00012454509102532684,true,"[-0.7123414664768182, -0.06382519348180812]",Terminated
false,0.00019425585473513703,true,"[-0.7246950789232895, -0.06493206671845266]",Terminated
