within_threshold,final_distance,convergence,perturbation,retcode
false,0.0004403429431256945,true,"[0.9357662021542048, 0.13741104830509906, -10.00000000469823]",Success
false,0.00042639277221433495,true,"[0.9357662021542048, 0.13741104830509906, -9.844961245008307]",Success
false,0.00041278424550602547,true,"[0.9357662021542048, 0.13741104830509906, -9.689922485318384]",Success
false,0.0003995242198725063,true,"[0.9357662021542048, 0.13741104830509906, -9.534883725628461]",Success
false,0.00038659922835038336,true,"[0.9357662021542048, 0.13741104830509906, -9.37984496593854]",Success
false,0.0003739695832868296,true,"[0.9357662021542048, 0.13741104830509906, -9.224806206248617]",Success
false,0.00036165563020623204,true,"[0.9357662021542048, 0.13741104830509906, -9.069767446558695]",Success
false,0.0003496253022320876,true,"[0.9357662021542048, 0.13741104830509906, -8.914728686868772]",Success
false,0.0003378732342291801,true,"[0.9357662021542048, 0.13741104830509906, -8.759689927178849]",Success
false,0.0003263865664664728,true,"[0.9357662021542048, 0.13741104830509906, -8.604651167488926]",Success
false,0.0003151678501113415,true,"[0.9357662021542048, 0.13741104830509906, -8.449612407799005]",Success
false,0.0003042036356229592,true,"[0.9357662021542048, 0.13741104830509906, -8.294573648109083]",Success
false,0.0002934905998741614,true,"[0.9357662021542048, 0.13741104830509906, -8.13953488841916]",Success
false,0.000283001789173821,true,"[0.9357662021542048, 0.13741104830509906, -7.984496128729237]",Success
false,0.00027275279125897834,true,"[0.9357662021542048, 0.13741104830509906, -7.829457369039314]",Success
false,0.0002627327688444513,true,"[0.9357662021542048, 0.13741104830509906, -7.6744186093493925]",Success
false,0.0002529286402146137,true,"[0.9357662021542048, 0.13741104830509906, -7.51937984965947]",Success
false,0.00024334516857281544,true,"[0.9357662021542048, 0.13741104830509906, -7.364341089969547]",Success
false,0.00023396384121447114,true,"[0.9357662021542048, 0.13741104830509906, -7.209302330279625]",Success
false,0.00022478961658424973,true,"[0.9357662021542048, 0.13741104830509906, -7.054263570589702]",Success
false,0.00021582161015760813,true,"[0.9357662021542048, 0.13741104830509906, -6.89922481089978]",Success
false,0.00020704235317202665,true,"[0.9357662021542048, 0.13741104830509906, -6.744186051209858]",Success
false,0.00019845856613211676,true,"[0.9357662021542048, 0.13741104830509906, -6.589147291519935]",Success
false,0.0001900616933632206,true,"[0.9357662021542048, 0.13741104830509906, -6.434108531830012]",Success
false,0.0001818472494937077,true,"[0.9357662021542048, 0.13741104830509906, -6.279069772140089]",Success
false,0.0001738147761371335,true,"[0.9357662021542048, 0.13741104830509906, -6.124031012450168]",Success
false,0.0001659621284745001,true,"[0.9357662021542048, 0.13741104830509906, -5.968992252760245]",Success
false,0.00015827810263676693,true,"[0.9357662021542048, 0.13741104830509906, -5.813953493070322]",Success
