within_threshold,final_distance,convergence,perturbation,retcode
false,0.0005383653649107791,true,"[0.9341092309133091, 0.13531496947936297, -10.000000075581802]",Success
false,0.0005231495785738395,true,"[0.9341092309133091, 0.13531496947936297, -9.84496131589188]",Success
false,0.0005082767450483945,true,"[0.9341092309133091, 0.13531496947936297, -9.689922556201957]",Success
false,0.0004937526772829521,true,"[0.9341092309133091, 0.13531496947936297, -9.534883796512034]",Success
false,0.0004794787776178182,true,"[0.9341092309133091, 0.13531496947936297, -9.379845036822113]",Success
false,0.0004654460523913398,true,"[0.9341092309133091, 0.13531496947936297, -9.22480627713219]",Success
false,0.0004516680543901336,true,"[0.9341092309133091, 0.13531496947936297, -9.069767517442267]",Success
false,0.000438082366183415,true,"[0.9341092309133091, 0.13531496947936297, -8.914728757752345]",Success
false,0.000424700298120375,true,"[0.9341092309133091, 0.13531496947936297, -8.759689998062422]",Success
false,0.00041151487424618497,true,"[0.9341092309133091, 0.13531496947936297, -8.6046512383725]",Success
false,0.00039850121650696616,true,"[0.9341092309133091, 0.13531496947936297, -8.449612478682578]",Success
false,0.0003856585674510022,true,"[0.9341092309133091, 0.13531496947936297, -8.294573718992655]",Success
false,0.0003729921721098251,true,"[0.9341092309133091, 0.13531496947936297, -8.139534959302733]",Success
false,0.00036049416561011134,true,"[0.9341092309133091, 0.13531496947936297, -7.98449619961281]",Success
false,0.0003481638226607286,true,"[0.9341092309133091, 0.13531496947936297, -7.829457439922887]",Success
false,0.00033600774866733807,true,"[0.9341092309133091, 0.13531496947936297, -7.674418680232965]",Success
false,0.0003240380480384711,true,"[0.9341092309133091, 0.13531496947936297, -7.5193799205430425]",Success
false,0.0003122406697828466,true,"[0.9341092309133091, 0.13531496947936297, -7.36434116085312]",Success
false,0.0003006052381607482,true,"[0.9341092309133091, 0.13531496947936297, -7.209302401163198]",Success
false,0.0002891622853003395,true,"[0.9341092309133091, 0.13531496947936297, -7.054263641473275]",Success
false,0.0002779101105641917,true,"[0.9341092309133091, 0.13531496947936297, -6.899224881783352]",Success
false,0.0002668364721910775,true,"[0.9341092309133091, 0.13531496947936297, -6.7441861220934305]",Success
false,0.00025595829186852585,true,"[0.9341092309133091, 0.13531496947936297, -6.589147362403508]",Success
false,0.0002452896290903066,true,"[0.9341092309133091, 0.13531496947936297, -6.434108602713585]",Success
false,0.00023481576009375091,true,"[0.9341092309133091, 0.13531496947936297, -6.279069843023662]",Success
false,0.00022455317243458582,true,"[0.9341092309133091, 0.13531496947936297, -6.12403108333374]",Success
false,0.00021449325482845042,true,"[0.9341092309133091, 0.13531496947936297, -5.968992323643818]",Success
false,0.0002046573511385969,true,"[0.9341092309133091, 0.13531496947936297, -5.813953563953895]",Success
false,0.00019503853369779684,true,"[0.9341092309133091, 0.13531496947936297, -5.658914804263973]",Success
false,0.00018564123604384024,true,"[0.9341092309133091, 0.13531496947936297, -5.50387604457405]",Success
false,0.00017647149315574545,true,"[0.9341092309133091, 0.13531496947936297, -5.3488372848841275]",Success
false,0.0001675272615490461,true,"[0.9341092309133091, 0.13531496947936297, -5.193798525194206]",Success
false,0.00015881407762343948,true,"[0.9341092309133091, 0.13531496947936297, -5.038759765504283]",Success
false,0.000150331628669505,true,"[0.9341092309133091, 0.13531496947936297, -4.88372100581436]",Success
false,0.0001420812302482809,true,"[0.9341092309133091, 0.13531496947936297, -4.728682246124438]",Success
false,0.00013406641245195306,true,"[0.9341092309133091, 0.13531496947936297, -4.5736434864345155]",Success
false,0.00012628673238393047,true,"[0.9341092309133091, 0.13531496947936297, -4.418604726744593]",Success
false,0.00011873903783936432,true,"[0.9341092309133091, 0.13531496947936297, -4.26356596705467]",Success
false,0.00011142711146979124,true,"[0.9341092309133091, 0.13531496947936297, -4.108527207364748]",Success
false,0.00010434722995703411,true,"[0.9341092309133091, 0.13531496947936297, -3.9534884476748253]",Success
true,9.750113594605762e-5,true,"[0.9341092309133091, 0.13531496947936297, -3.798449687984903]",Success
true,9.088444193737829e-5,true,"[0.9341092309133091, 0.13531496947936297, -3.6434109282949803]",Success
true,8.449700205127598e-5,true,"[0.9341092309133091, 0.13531496947936297, -3.488372168605058]",Success
true,7.833600344748194e-5,true,"[0.9341092309133091, 0.13531496947936297, -3.3333334089151356]",Success
true,7.239890831049119e-5,true,"[0.9341092309133091, 0.13531496947936297, -3.178294649225213]",Success
true,6.668202663584211e-5,true,"[0.9341092309133091, 0.13531496947936297, -3.0232558895352906]",Terminated
true,6.118305026963184e-5,true,"[0.9341092309133091, 0.13531496947936297, -2.8682171298453683]",Terminated
true,6.6901767454621e-5,true,"[0.9341092309133091, 0.13531496947936297, -2.7131783701554455]",Terminated
true,5.0824614447214544e-5,true,"[0.9341092309133091, 0.13531496947936297, -2.558139610465523]",Terminated
true,6.799482063214275e-5,true,"[0.9341092309133091, 0.13531496947936297, -2.4031008507756004]",Terminated
true,4.5967535965826295e-5,true,"[0.9341092309133091, 0.13531496947936297, -2.248062091085678]",Terminated
true,6.502323859589542e-5,true,"[0.9341092309133091, 0.13531496947936297, -2.093023331395756]",Terminated
true,6.089707153994084e-5,true,"[0.9341092309133091, 0.13531496947936297, -1.937984571705833]",Terminated
true,8.950364686818338e-5,true,"[0.9341092309133091, 0.13531496947936297, -1.7829458120159107]",Terminated
true,8.521227261923136e-5,true,"[0.9341092309133091, 0.13531496947936297, -1.6279070523259882]",Terminated
true,7.409907129034236e-5,true,"[0.9341092309133091, 0.13531496947936297, -1.4728682926360657]",Terminated
true,6.408964925393194e-5,true,"[0.9341092309133091, 0.13531496947936297, -1.3178295329461431]",Terminated
true,5.3262239733834895e-5,true,"[0.9341092309133091, 0.13531496947936297, -1.1627907732562208]",Terminated
true,1.1518992399007473e-5,true,"[0.9341092309133091, 0.13531496947936297, -1.0077520135662983]",Terminated
true,7.66773381118366e-6,true,"[0.9341092309133091, 0.13531496947936297, -0.8527132538763758]",Terminated
true,3.030799711082129e-6,true,"[0.9341092309133091, 0.13531496947936297, -0.6976744941864533]",Terminated
true,8.536207638738474e-6,true,"[0.9341092309133091, 0.13531496947936297, -0.5426357344965308]",Terminated
true,8.886916534254165e-7,true,"[0.9341092309133091, 0.13531496947936297, -0.3875969748066084]",Terminated
true,3.0974489390751233e-6,true,"[0.9341092309133091, 0.13531496947936297, -0.23255821511668587]",Terminated
true,1.0174654471178398e-5,true,"[0.9341092309133091, 0.13531496947936297, -0.07751945542676339]",Terminated
true,1.334582061652309e-5,true,"[0.9341092309133091, 0.13531496947936297, 0.07751930426315909]",Terminated
true,1.1103451595137631e-5,true,"[0.9341092309133091, 0.13531496947936297, 0.23255806395308157]",Terminated
true,1.1531185412742594e-5,true,"[0.9341092309133091, 0.13531496947936297, 0.3875968236430041]",Terminated
true,1.3339477670930276e-5,true,"[0.9341092309133091, 0.13531496947936297, 0.5426355833329265]",Terminated
true,1.5032107491975163e-5,true,"[0.9341092309133091, 0.13531496947936297, 0.697674343022849]",Terminated
true,1.9827302413083783e-5,true,"[0.9341092309133091, 0.13531496947936297, 0.8527131027127715]",Terminated
true,1.808891572085756e-5,true,"[0.9341092309133091, 0.13531496947936297, 1.007751862402694]",Terminated
true,1.945595381121511e-5,true,"[0.9341092309133091, 0.13531496947936297, 1.1627906220926165]",Terminated
true,2.0922205053437616e-5,true,"[0.9341092309133091, 0.13531496947936297, 1.3178293817825388]",Terminated
true,2.1893372923841498e-5,true,"[0.9341092309133091, 0.13531496947936297, 1.4728681414724614]",Success
true,2.2966617472831705e-5,true,"[0.9341092309133091, 0.13531496947936297, 1.627906901162384]",Success
true,2.3949658621823624e-5,true,"[0.9341092309133091, 0.13531496947936297, 1.7829456608523064]",Success
true,2.484269681703874e-5,true,"[0.9341092309133091, 0.13531496947936297, 1.9379844205422287]",Success
true,2.5650029224292376e-5,true,"[0.9341092309133091, 0.13531496947936297, 2.0930231802321515]",Success
true,2.637302194046452e-5,true,"[0.9341092309133091, 0.13531496947936297, 2.248061939922074]",Success
true,2.7012725085084725e-5,true,"[0.9341092309133091, 0.13531496947936297, 2.403100699611996]",Success
true,2.757279184281329e-5,true,"[0.9341092309133091, 0.13531496947936297, 2.558139459301919]",Success
true,2.8055803383382577e-5,true,"[0.9341092309133091, 0.13531496947936297, 2.713178218991841]",Success
