within_threshold,final_distance,convergence,perturbation,retcode
true,4.7725274672698534e-5,true,"[-0.9357903680212751, 0.1649535472184884, -10.000000003272095]",Success
true,4.970264901710225e-5,true,"[-0.9357903680212751, 0.1649535472184884, -9.844961243582173]",Success
true,5.1664512183819817e-5,true,"[-0.9357903680212751, 0.1649535472184884, -9.68992248389225]",Success
true,5.359729306991056e-5,true,"[-0.9357903680212751, 0.1649535472184884, -9.534883724202327]",Success
true,5.550047813362692e-5,true,"[-0.9357903680212751, 0.1649535472184884, -9.379844964512406]",Success
true,5.737330142502334e-5,true,"[-0.9357903680212751, 0.1649535472184884, -9.224806204822483]",Success
true,5.922311437785677e-5,true,"[-0.9357903680212751, 0.1649535472184884, -9.06976744513256]",Success
true,6.103987448240262e-5,true,"[-0.9357903680212751, 0.1649535472184884, -8.914728685442638]",Success
true,6.282631123712776e-5,true,"[-0.9357903680212751, 0.1649535472184884, -8.759689925752715]",Success
true,6.458513783984447e-5,true,"[-0.9357903680212751, 0.1649535472184884, -8.604651166062792]",Success
true,6.63157846411239e-5,true,"[-0.9357903680212751, 0.1649535472184884, -8.449612406372871]",Success
true,6.801400417459271e-5,true,"[-0.9357903680212751, 0.1649535472184884, -8.294573646682949]",Success
true,6.967527562435716e-5,true,"[-0.9357903680212751, 0.1649535472184884, -8.139534886993026]",Success
true,7.130517125069885e-5,true,"[-0.9357903680212751, 0.1649535472184884, -7.984496127303103]",Success
true,7.290231571329432e-5,true,"[-0.9357903680212751, 0.1649535472184884, -7.8294573676131805]",Success
true,7.446050172184554e-5,true,"[-0.9357903680212751, 0.1649535472184884, -7.674418607923259]",Success
true,7.598347729383645e-5,true,"[-0.9357903680212751, 0.1649535472184884, -7.519379848233336]",Success
true,7.746680366171016e-5,true,"[-0.9357903680212751, 0.1649535472184884, -7.364341088543413]",Success
true,7.890985694205005e-5,true,"[-0.9357903680212751, 0.1649535472184884, -7.209302328853491]",Success
true,8.031226939567263e-5,true,"[-0.9357903680212751, 0.1649535472184884, -7.0542635691635684]",Success
true,8.167126100337805e-5,true,"[-0.9357903680212751, 0.1649535472184884, -6.899224809473646]",Success
true,8.298299888003365e-5,true,"[-0.9357903680212751, 0.1649535472184884, -6.744186049783724]",Success
true,8.424578107177722e-5,true,"[-0.9357903680212751, 0.1649535472184884, -6.589147290093801]",Success
true,8.546910836925319e-5,true,"[-0.9357903680212751, 0.1649535472184884, -6.434108530403878]",Success
true,8.663011822447198e-5,true,"[-0.9357903680212751, 0.1649535472184884, -6.279069770713956]",Success
true,8.77484069361221e-5,true,"[-0.9357903680212751, 0.1649535472184884, -6.124031011024034]",Success
true,8.87925849907065e-5,true,"[-0.9357903680212751, 0.1649535472184884, -5.968992251334111]",Success
true,8.979052909593653e-5,true,"[-0.9357903680212751, 0.1649535472184884, -5.813953491644188]",Success
true,9.071457435428887e-5,true,"[-0.9357903680212751, 0.1649535472184884, -5.658914731954266]",Success
true,9.158416233398798e-5,true,"[-0.9357903680212751, 0.1649535472184884, -5.5038759722643436]",Success
true,9.237980762005649e-5,true,"[-0.9357903680212751, 0.1649535472184884, -5.348837212574421]",Success
true,9.309017557039114e-5,true,"[-0.9357903680212751, 0.1649535472184884, -5.193798452884499]",Success
true,9.371314883298384e-5,true,"[-0.9357903680212751, 0.1649535472184884, -5.038759693194576]",Success
true,9.426709039952986e-5,true,"[-0.9357903680212751, 0.1649535472184884, -4.883720933504653]",Success
true,9.471424448612856e-5,true,"[-0.9357903680212751, 0.1649535472184884, -4.7286821738147315]",Success
true,9.5069397915788e-5,true,"[-0.9357903680212751, 0.1649535472184884, -4.573643414124809]",Success
true,9.532443625411405e-5,true,"[-0.9357903680212751, 0.1649535472184884, -4.418604654434886]",Success
true,9.546536471514947e-5,true,"[-0.9357903680212751, 0.1649535472184884, -4.263565894744963]",Success
true,9.54752088632587e-5,true,"[-0.9357903680212751, 0.1649535472184884, -4.108527135055041]",Success
true,9.534498988824611e-5,true,"[-0.9357903680212751, 0.1649535472184884, -3.9534883753651187]",Success
true,9.50862613552174e-5,true,"[-0.9357903680212751, 0.1649535472184884, -3.7984496156751963]",Success
true,9.465456414761276e-5,true,"[-0.9357903680212751, 0.1649535472184884, -3.6434108559852736]",Success
true,9.406640196996597e-5,true,"[-0.9357903680212751, 0.1649535472184884, -3.4883720962953513]",Success
true,9.32767779875205e-5,true,"[-0.9357903680212751, 0.1649535472184884, -3.333333336605429]",Success
true,9.229453822798019e-5,true,"[-0.9357903680212751, 0.1649535472184884, -3.178294576915506]",Success
true,9.107968640459659e-5,true,"[-0.9357903680212751, 0.1649535472184884, -3.023255817225584]",Success
true,8.963036097375925e-5,true,"[-0.9357903680212751, 0.1649535472184884, -2.8682170575356616]",Success
true,8.788665988230019e-5,true,"[-0.9357903680212751, 0.1649535472184884, -2.713178297845739]",Success
true,8.586957354218487e-5,true,"[-0.9357903680212751, 0.1649535472184884, -2.5581395381558165]",Success
true,8.350412338340452e-5,true,"[-0.9357903680212751, 0.1649535472184884, -2.4031007784658938]",Success
true,8.076140405702466e-5,true,"[-0.9357903680212751, 0.1649535472184884, -2.2480620187759714]",Success
true,7.760422198016408e-5,true,"[-0.9357903680212751, 0.1649535472184884, -2.093023259086049]",Success
true,7.401498322069843e-5,true,"[-0.9357903680212751, 0.1649535472184884, -1.9379844993961264]",Success
true,6.991901457052433e-5,true,"[-0.9357903680212751, 0.1649535472184884, -1.782945739706204]",Success
true,6.529820774770299e-5,true,"[-0.9357903680212751, 0.1649535472184884, -1.6279069800162815]",Success
true,6.016945251771301e-5,true,"[-0.9357903680212751, 0.1649535472184884, -1.472868220326359]",Success
true,5.4577776207129905e-5,true,"[-0.9357903680212751, 0.1649535472184884, -1.3178294606364365]",Success
true,4.8819395606150894e-5,true,"[-0.9357903680212751, 0.1649535472184884, -1.1627907009465142]",Success
true,4.364616391405163e-5,true,"[-0.9357903680212751, 0.1649535472184884, -1.0077519412565916]",Success
true,4.086619170473785e-5,true,"[-0.9357903680212751, 0.1649535472184884, -0.8527131815666691]",Success
true,4.360007133474175e-5,true,"[-0.9357903680212751, 0.1649535472184884, -0.6976744218767467]",Success
true,5.5017990679120734e-5,true,"[-0.9357903680212751, 0.1649535472184884, -0.5426356621868241]",Success
true,7.697940742979838e-5,true,"[-0.9357903680212751, 0.1649535472184884, -0.3875969024969017]",Success
false,0.00011251983890922365,true,"[-0.9357903680212751, 0.1649535472184884, -0.2325581428069792]",Success
false,0.00017089143282834337,true,"[-0.9357903680212751, 0.1649535472184884, -0.07751938311705672]",Success
false,0.00028660602316835104,true,"[-0.9357903680212751, 0.1649535472184884, 0.07751937657286576]",Success
false,0.0014577634826108265,true,"[-0.9357903680212751, 0.1649535472184884, 0.23255813626278823]",Success
false,0.0007516570354103578,true,"[-0.9357903680212751, 0.1649535472184884, 0.38759689595271074]",Success
false,0.0006308229134170512,true,"[-0.9357903680212751, 0.1649535472184884, 0.5426356556426332]",Success
false,0.0005637814489186943,true,"[-0.9357903680212751, 0.1649535472184884, 0.6976744153325557]",Success
false,0.0005179775529059904,true,"[-0.9357903680212751, 0.1649535472184884, 0.8527131750224781]",Success
false,0.0004834298568702095,true,"[-0.9357903680212751, 0.1649535472184884, 1.0077519347124007]",Success
false,0.00045579480788098626,true,"[-0.9357903680212751, 0.1649535472184884, 1.1627906944023232]",Success
false,0.0004328051550072717,true,"[-0.9357903680212751, 0.1649535472184884, 1.3178294540922455]",Success
false,0.0004131312674312311,true,"[-0.9357903680212751, 0.1649535472184884, 1.472868213782168]",Success
false,0.00039594413063728437,true,"[-0.9357903680212751, 0.1649535472184884, 1.6279069734720906]",Success
false,0.00038065896703093967,true,"[-0.9357903680212751, 0.1649535472184884, 1.782945733162013]",Success
false,0.000366914026142987,true,"[-0.9357903680212751, 0.1649535472184884, 1.9379844928519354]",Success
false,0.00035437984583980254,true,"[-0.9357903680212751, 0.1649535472184884, 2.093023252541858]",Success
