within_threshold,final_distance,convergence,perturbation,retcode
true,2.9472548535059292e-5,true,"[-0.9344997836563381, 0.16460313568754376, -10.000000052671771]",Success
true,3.140117144672877e-5,true,"[-0.9344997836563381, 0.16460313568754376, -9.844961292981848]",Success
true,3.3308376334218244e-5,true,"[-0.9344997836563381, 0.16460313568754376, -9.689922533291925]",Success
true,3.5188041252208784e-5,true,"[-0.9344997836563381, 0.16460313568754376, -9.534883773602003]",Success
true,3.705718343493956e-5,true,"[-0.9344997836563381, 0.16460313568754376, -9.379845013912082]",Success
true,3.8897494799577386e-5,true,"[-0.9344997836563381, 0.16460313568754376, -9.224806254222159]",Success
true,4.071540234788076e-5,true,"[-0.9344997836563381, 0.16460313568754376, -9.069767494532236]",Success
true,4.250436943098303e-5,true,"[-0.9344997836563381, 0.16460313568754376, -8.914728734842313]",Success
true,4.427848718821858e-5,true,"[-0.9344997836563381, 0.16460313568754376, -8.75968997515239]",Success
true,4.602175493882314e-5,true,"[-0.9344997836563381, 0.16460313568754376, -8.604651215462468]",Success
true,4.7739569484448285e-5,true,"[-0.9344997836563381, 0.16460313568754376, -8.449612455772547]",Success
true,4.9429663985658736e-5,true,"[-0.9344997836563381, 0.16460313568754376, -8.294573696082624]",Success
true,5.109173786594728e-5,true,"[-0.9344997836563381, 0.16460313568754376, -8.139534936392701]",Success
true,5.272131847516418e-5,true,"[-0.9344997836563381, 0.16460313568754376, -7.984496176702779]",Success
true,5.4321083042071616e-5,true,"[-0.9344997836563381, 0.16460313568754376, -7.829457417012856]",Success
true,5.588595492794463e-5,true,"[-0.9344997836563381, 0.16460313568754376, -7.674418657322934]",Success
true,5.7414093410097416e-5,true,"[-0.9344997836563381, 0.16460313568754376, -7.519379897633011]",Success
true,5.890263297336406e-5,true,"[-0.9344997836563381, 0.16460313568754376, -7.3643411379430885]",Success
true,6.0350302920807636e-5,true,"[-0.9344997836563381, 0.16460313568754376, -7.209302378253167]",Success
true,6.175099898197441e-5,true,"[-0.9344997836563381, 0.16460313568754376, -7.054263618563244]",Success
