within_threshold,final_distance,convergence,perturbation,retcode
false,0.000585826016515178,true,"[-0.1358008627930314, 0.02903617278345462]",Success
false,0.0005773419014748079,true,"[-0.14792981476848555, 0.031629516728391475]",Success
false,0.0005696618751496125,true,"[-0.16005876674393965, 0.03422286067332833]",Success
false,0.0005626536230529241,true,"[-0.17218771871939378, 0.036816204618265194]",Success
false,0.0005562198171377503,true,"[-0.1843166706948479, 0.03940954856320205]",Success
false,0.0005502778655485666,true,"[-0.196445622670302, 0.042002892508138906]",Success
false,0.0005447715187712007,true,"[-0.20857457464575613, 0.04459623645307576]",Success
false,0.0005396075498094153,true,"[-0.22070352662121023, 0.04718958039801262]",Success
false,0.0005348094283901296,true,"[-0.23283247859666437, 0.04978292434294948]",Success
false,0.0005303167588661031,true,"[-0.24496143057211847, 0.052376268287886336]",Success
false,0.0005260412235183975,true,"[-0.2570903825475726, 0.05496961223282319]",Success
false,0.0005220167145194003,true,"[-0.2692193345230267, 0.05756295617776005]",Success
false,0.0005182177692261773,true,"[-0.2813482864984808, 0.06015630012269691]",Success
false,0.0005146241649643175,true,"[-0.2934772384739349, 0.06274964406763377]",Success
false,0.0005111945989658075,true,"[-0.3056061904493891, 0.06534298801257062]",Success
false,0.0005079303048841163,true,"[-0.3177351424248432, 0.06793633195750748]",Success
false,0.0005048202518826675,true,"[-0.3298640944002973, 0.07052967590244434]",Success
false,0.0005018484098873722,true,"[-0.34199304637575145, 0.0731230198473812]",Success
false,0.0004989847526582133,true,"[-0.35412199835120556, 0.07571636379231807]",Success
false,0.0004962447281752742,true,"[-0.3662509503266597, 0.07830970773725492]",Success
false,0.000493609600383158,true,"[-0.3783799023021138, 0.08090305168219178]",Success
false,0.0004910851521227234,true,"[-0.39050885427756793, 0.08349639562712864]",Success
false,0.0004886580763082668,true,"[-0.40263780625302203, 0.08608973957206549]",Success
false,0.0004863158826099812,true,"[-0.4147667582284762, 0.08868308351700235]",Success
false,0.00048405848308139373,true,"[-0.4268957102039303, 0.0912764274619392]",Success
false,0.0004818730921542889,true,"[-0.4390246621793844, 0.09386977140687607]",Success
false,0.0004797842232193177,true,"[-0.4511536141548385, 0.09646311535181293]",Success
false,0.0004777374753320984,true,"[-0.4632825661302926, 0.09905645929674978]",Success
false,0.0004757733728156065,true,"[-0.4754115181057468, 0.10164980324168664]",Success
false,0.0004738346496067441,true,"[-0.4875404700812009, 0.10424314718662349]",Success
false,0.00047200967163112416,true,"[-0.49966942205665493, 0.10683649113156034]",Success
false,0.0004701925423705247,true,"[-0.511798374032109, 0.1094298350764972]",Success
false,0.00046845964414871354,true,"[-0.5239273260075632, 0.11202317902143405]",Success
false,0.00046673579432253865,true,"[-0.5360562779830174, 0.11461652296637094]",Success
false,0.00046508437604274056,true,"[-0.5481852299584715, 0.11720986691130779]",Success
false,0.00046349227404506125,true,"[-0.5603141819339257, 0.11980321085624465]",Success
false,0.0004619227283334061,true,"[-0.5724431339093797, 0.1223965548011815]",Success
false,0.00046039588825699313,true,"[-0.5845720858848339, 0.12498989874611836]",Success
false,0.0004589199079946819,true,"[-0.5967010378602879, 0.12758324269105523]",Success
false,0.00045746493066043385,true,"[-0.6088299898357421, 0.13017658663599208]",Success
false,0.00045604693932836926,true,"[-0.6209589418111963, 0.13276993058092892]",Success
false,0.00045466209146524737,true,"[-0.6330878937866503, 0.1353632745258658]",Success
false,0.00045331904856067077,true,"[-0.6452168457621045, 0.13795661847080265]",Success
false,0.00045199919249440753,true,"[-0.6573457977375585, 0.1405499624157395]",Success
false,0.00045073622995626153,true,"[-0.6694747497130127, 0.14314330636067638]",Success
false,0.0004494809800952498,true,"[-0.6816037016884668, 0.14573665030561322]",Success
false,0.0004482567751201621,true,"[-0.6937326536639209, 0.14832999425055007]",Success
false,0.0004470325603327364,true,"[-0.7058616056393751, 0.15092333819548692]",Success
false,0.0004458713854512264,true,"[-0.7179905576148291, 0.1535166821404238]",Success
false,0.0004447269798700194,true,"[-0.7301195095902833, 0.15611002608536065]",Success
false,0.0004436048249921286,true,"[-0.7422484615657374, 0.1587033700302975]",Success
false,0.00044249501478054197,true,"[-0.7543774135411915, 0.16129671397523437]",Success
false,0.0004414020177512437,true,"[-0.7665063655166456, 0.16389005792017122]",Success
false,0.0004403475744193776,true,"[-0.7786353174920998, 0.16648340186510807]",Success
false,0.00043929889814647215,true,"[-0.7907642694675538, 0.16907674581004495]",Success
false,0.00043828619331755144,true,"[-0.802893221443008, 0.1716700897549818]",Success
false,0.00043727727216527645,true,"[-0.8150221734184621, 0.17426343369991865]",Success
false,0.0004362956218337452,true,"[-0.8271511253939162, 0.17685677764485552]",Success
false,0.00043535579158299106,true,"[-0.8392800773693704, 0.17945012158979237]",Success
