c,f,a,p,ca,fa,aa,pa
0.79 ± 0.036,0.9962 ± 0.0038,0.9962 ± 0.0038,0.762 ± 0.037,0.681 ± 0.041,0.9962 ± 0.0038,0.863 ± 0.03,0.835 ± 0.032
0.258 ± 0.038,0.9962 ± 0.0038,0.595 ± 0.043,0.359 ± 0.042,0.236 ± 0.037,0.9962 ± 0.0038,0.597 ± 0.043,0.351 ± 0.042
0.226 ± 0.036,0.9962 ± 0.0038,0.466 ± 0.044,0.335 ± 0.041,0.169 ± 0.033,0.958 ± 0.017,0.294 ± 0.04,0.268 ± 0.039
0.224 ± 0.036,0.9962 ± 0.0038,0.476 ± 0.044,0.305 ± 0.04,0.296 ± 0.04,0.869 ± 0.029,0.22 ± 0.036,0.363 ± 0.042
0.528 ± 0.044,0.9962 ± 0.0038,0.524 ± 0.044,0.702 ± 0.04,0.472 ± 0.044,0.9962 ± 0.0038,0.238 ± 0.037,0.565 ± 0.043
0.633 ± 0.042,0.9962 ± 0.0038,0.704 ± 0.04,0.818 ± 0.034,0.607 ± 0.043,0.9962 ± 0.0038,0.252 ± 0.038,0.816 ± 0.034
0.744 ± 0.038,0.9962 ± 0.0038,0.81 ± 0.034,0.927 ± 0.023,0.734 ± 0.039,0.9962 ± 0.0038,0.361 ± 0.042,0.903 ± 0.026
0.792 ± 0.035,0.9962 ± 0.0038,0.845 ± 0.031,0.947 ± 0.019,0.82 ± 0.033,0.9962 ± 0.0038,0.484 ± 0.044,0.956 ± 0.017
0.925 ± 0.023,0.9962 ± 0.0038,0.97 ± 0.014,0.956 ± 0.017,0.863 ± 0.03,0.9962 ± 0.0038,0.528 ± 0.044,0.956 ± 0.017
0.96 ± 0.017,0.9962 ± 0.0038,0.9962 ± 0.0038,0.968 ± 0.015,0.905 ± 0.025,0.9962 ± 0.0038,0.637 ± 0.042,0.968 ± 0.015
0.976 ± 0.013,0.9962 ± 0.0038,0.9962 ± 0.0038,0.976 ± 0.013,0.968 ± 0.015,0.9962 ± 0.0038,0.748 ± 0.038,0.9882 ± 0.0086
0.9863 ± 0.0095,0.9962 ± 0.0038,0.9962 ± 0.0038,0.9942 ± 0.0054,0.982 ± 0.011,0.9962 ± 0.0038,0.869 ± 0.029,0.9962 ± 0.0038
0.9942 ± 0.0054,0.9962 ± 0.0038,0.9962 ± 0.0038,0.9942 ± 0.0054,0.9942 ± 0.0054,0.9962 ± 0.0038,0.9863 ± 0.0095,0.9962 ± 0.0038
0.9962 ± 0.0038,0.9962 ± 0.0038,0.9962 ± 0.0038,0.9942 ± 0.0054,0.9962 ± 0.0038,0.9962 ± 0.0038,0.9922 ± 0.0067,0.9962 ± 0.0038
0.9962 ± 0.0038,0.9962 ± 0.0038,0.9962 ± 0.0038,0.9942 ± 0.0054,0.9962 ± 0.0038,0.9962 ± 0.0038,0.9962 ± 0.0038,0.9962 ± 0.0038
0.9962 ± 0.0038,0.9962 ± 0.0038,0.9962 ± 0.0038,0.9942 ± 0.0054,0.9962 ± 0.0038,0.9962 ± 0.0038,0.9962 ± 0.0038,0.9962 ± 0.0038
0.9962 ± 0.0038,0.9962 ± 0.0038,0.9962 ± 0.0038,0.9942 ± 0.0054,0.9962 ± 0.0038,0.9962 ± 0.0038,0.9962 ± 0.0038,0.9962 ± 0.0038
0.9962 ± 0.0038,0.9962 ± 0.0038,0.9962 ± 0.0038,0.9942 ± 0.0054,0.9962 ± 0.0038,0.9962 ± 0.0038,0.9962 ± 0.0038,0.9962 ± 0.0038
0.9942 ± 0.0054,0.9962 ± 0.0038,0.9962 ± 0.0038,0.9942 ± 0.0054,0.9962 ± 0.0038,0.9962 ± 0.0038,0.9962 ± 0.0038,0.9962 ± 0.0038
0.9962 ± 0.0038,0.9962 ± 0.0038,0.9962 ± 0.0038,0.9942 ± 0.0054,0.9962 ± 0.0038,0.9962 ± 0.0038,0.9962 ± 0.0038,0.9962 ± 0.0038
0.9962 ± 0.0038,0.9962 ± 0.0038,0.9962 ± 0.0038,0.9962 ± 0.0038,0.9962 ± 0.0038,0.9962 ± 0.0038,0.9962 ± 0.0038,0.9962 ± 0.0038
