within_threshold,final_distance,convergence,perturbation,retcode
true,2.872088289725592e-7,true,"[-0.4576582351870195, -0.9083333858256779, -9.999999989909535]",Terminated
true,3.402340438392862e-7,true,"[-0.4576582351870195, -0.9083333858256779, -9.797979787889332]",Terminated
true,1.1195811646140074e-7,true,"[-0.4576582351870195, -0.9083333858256779, -9.59595958586913]",Terminated
true,1.557745492207102e-7,true,"[-0.4576582351870195, -0.9083333858256779, -9.39393938384893]",Terminated
false,3.11396604865984,true,"[-0.4576582351870195, -0.9083333858256779, -9.191919181828727]",Success
false,2.192880998243249,false,"[-0.4576582351870195, -0.9083333858256779, -8.989898979808524]",Success
true,7.677656844774058e-8,true,"[-0.4576582351870195, -0.9083333858256779, -8.787878777788322]",Terminated
true,1.8258860684630952e-7,true,"[-0.4576582351870195, -0.9083333858256779, -8.585858575768121]",Terminated
true,5.268858482097029e-7,true,"[-0.4576582351870195, -0.9083333858256779, -8.383838373747919]",Terminated
true,2.598214177127921e-7,true,"[-0.4576582351870195, -0.9083333858256779, -8.181818171727716]",Terminated
true,2.042911967267745e-7,true,"[-0.4576582351870195, -0.9083333858256779, -7.979797969707515]",Terminated
true,9.539836179177575e-8,true,"[-0.4576582351870195, -0.9083333858256779, -7.777777767687312]",Terminated
false,2.8431773465584076,true,"[-0.4576582351870195, -0.9083333858256779, -7.575757565667111]",Success
false,2.2907450911968676,true,"[-0.4576582351870195, -0.9083333858256779, -7.373737363646908]",Success
false,2.547951081791845,true,"[-0.4576582351870195, -0.9083333858256779, -7.171717161626707]",Success
true,9.812107475763521e-8,true,"[-0.4576582351870195, -0.9083333858256779, -6.969696959606504]",Terminated
true,4.696654196779962e-7,true,"[-0.4576582351870195, -0.9083333858256779, -6.767676757586302]",Terminated
true,5.46501060645085e-7,true,"[-0.4576582351870195, -0.9083333858256779, -6.5656565555661]",Terminated
false,2.82662106653451,false,"[-0.4576582351870195, -0.9083333858256779, -6.363636353545898]",Success
false,3.823756100619604,false,"[-0.4576582351870195, -0.9083333858256779, -6.161616151525696]",Success
false,2.838394479670512,false,"[-0.4576582351870195, -0.9083333858256779, -5.959595949505494]",Success
false,2.0134678624266185,false,"[-0.4576582351870195, -0.9083333858256779, -5.757575747485292]",Success
true,5.712447744215915e-7,true,"[-0.4576582351870195, -0.9083333858256779, -5.55555554546509]",Terminated
true,2.4336788011645864e-7,true,"[-0.4576582351870195, -0.9083333858256779, -5.3535353434448885]",Terminated
true,2.3841671348835052e-7,true,"[-0.4576582351870195, -0.9083333858256779, -5.151515141424686]",Terminated
true,5.616439637873192e-7,true,"[-0.4576582351870195, -0.9083333858256779, -4.9494949394044845]",Terminated
true,2.796497760712224e-7,true,"[-0.4576582351870195, -0.9083333858256779, -4.747474737384282]",Terminated
