within_threshold,final_distance,convergence,perturbation,retcode
true,5.220261339988817e-7,true,"[-0.4393175721801749, -0.9163264654104385, -9.999999905631956]",Terminated
true,7.835819151099957e-7,true,"[-0.4393175721801749, -0.9163264654104385, -9.797979703611754]",Terminated
true,5.870399039063786e-7,true,"[-0.4393175721801749, -0.9163264654104385, -9.595959501591551]",Terminated
true,3.3853880573742876e-7,true,"[-0.4393175721801749, -0.9163264654104385, -9.39393929957135]",Terminated
true,1.785885076934507e-7,true,"[-0.4393175721801749, -0.9163264654104385, -9.191919097551148]",Terminated
false,3.5115895041820777,true,"[-0.4393175721801749, -0.9163264654104385, -8.989898895530946]",Success
true,4.7552011778533995e-9,true,"[-0.4393175721801749, -0.9163264654104385, -8.787878693510743]",Terminated
true,1.7147795533978138e-7,true,"[-0.4393175721801749, -0.9163264654104385, -8.585858491490542]",Terminated
true,6.141246124596043e-7,true,"[-0.4393175721801749, -0.9163264654104385, -8.38383828947034]",Terminated
true,3.318918179019689e-7,true,"[-0.4393175721801749, -0.9163264654104385, -8.181818087450138]",Terminated
true,1.4218373402497184e-7,true,"[-0.4393175721801749, -0.9163264654104385, -7.979797885429936]",Terminated
true,1.5447098129019615e-7,true,"[-0.4393175721801749, -0.9163264654104385, -7.777777683409734]",Terminated
false,3.5370825182541963,false,"[-0.4393175721801749, -0.9163264654104385, -7.575757481389532]",Success
false,3.662874577294088,false,"[-0.4393175721801749, -0.9163264654104385, -7.37373727936933]",Success
false,2.2561611938494344,true,"[-0.4393175721801749, -0.9163264654104385, -7.171717077349128]",Success
true,2.4844949510793116e-7,true,"[-0.4393175721801749, -0.9163264654104385, -6.969696875328926]",Terminated
true,4.6149309838340666e-7,true,"[-0.4393175721801749, -0.9163264654104385, -6.767676673308723]",Terminated
true,5.0116606956871056e-8,true,"[-0.4393175721801749, -0.9163264654104385, -6.565656471288522]",Terminated
true,2.6965498106252135e-7,true,"[-0.4393175721801749, -0.9163264654104385, -6.363636269268319]",Terminated
false,2.6943473407048684,true,"[-0.4393175721801749, -0.9163264654104385, -6.161616067248118]",Success
false,3.453377267608669,true,"[-0.4393175721801749, -0.9163264654104385, -5.959595865227915]",Success
false,3.124434761324266,true,"[-0.4393175721801749, -0.9163264654104385, -5.757575663207714]",Success
true,6.72595455128877e-7,true,"[-0.4393175721801749, -0.9163264654104385, -5.555555461187511]",Terminated
true,3.464114751577928e-7,true,"[-0.4393175721801749, -0.9163264654104385, -5.35353525916731]",Terminated
true,2.610921808871721e-7,true,"[-0.4393175721801749, -0.9163264654104385, -5.151515057147107]",Terminated
true,1.9833855749770642e-7,true,"[-0.4393175721801749, -0.9163264654104385, -4.949494855126906]",Terminated
true,6.114443060923262e-8,true,"[-0.4393175721801749, -0.9163264654104385, -4.747474653106703]",Terminated
true,2.8887892437620295e-7,true,"[-0.4393175721801749, -0.9163264654104385, -4.545454451086502]",Terminated
true,3.389396102074482e-7,true,"[-0.4393175721801749, -0.9163264654104385, -4.343434249066299]",Terminated
true,2.815053271175606e-8,true,"[-0.4393175721801749, -0.9163264654104385, -4.141414047046097]",Terminated
true,2.137344411534452e-7,true,"[-0.4393175721801749, -0.9163264654104385, -3.9393938450258954]",Terminated
true,2.321616725967937e-7,true,"[-0.4393175721801749, -0.9163264654104385, -3.7373736430056934]",Terminated
true,2.49614279334164e-7,true,"[-0.4393175721801749, -0.9163264654104385, -3.5353534409854914]",Terminated
true,4.947301209565646e-7,true,"[-0.4393175721801749, -0.9163264654104385, -3.3333332389652894]",Terminated
true,8.603031675353887e-7,true,"[-0.4393175721801749, -0.9163264654104385, -3.1313130369450874]",Terminated
true,5.839383218991538e-7,true,"[-0.4393175721801749, -0.9163264654104385, -2.9292928349248855]",Terminated
true,5.00892403084383e-7,true,"[-0.4393175721801749, -0.9163264654104385, -2.727272632904683]",Terminated
