within_threshold,final_distance,convergence,perturbation,retcode
true,2.646460416431965e-10,true,"[-0.8948992689357699, -0.4999999999999483, -9.99999999999974]",Terminated
true,3.3239331249232115e-9,true,"[-0.8948992689357699, -0.4999999999999483, -9.899497487436927]",Terminated
true,1.859259288030781e-9,true,"[-0.8948992689357699, -0.4999999999999483, -9.798994974874113]",Terminated
true,3.760041767048774e-8,true,"[-0.8948992689357699, -0.4999999999999483, -9.698492462311298]",Terminated
true,3.510680722544139e-7,true,"[-0.8948992689357699, -0.4999999999999483, -9.597989949748484]",Terminated
false,3.144987601477768,false,"[-0.8948992689357699, -0.4999999999999483, -9.49748743718567]",Success
false,2.3224227122324925,false,"[-0.8948992689357699, -0.4999999999999483, -9.396984924622856]",Success
false,1.9469494314260236,false,"[-0.8948992689357699, -0.4999999999999483, -9.296482412060042]",Success
false,1.8228496689112108,false,"[-0.8948992689357699, -0.4999999999999483, -9.195979899497228]",Success
false,1.7951435984409503,false,"[-0.8948992689357699, -0.4999999999999483, -9.095477386934414]",Success
false,1.8238888623393295,false,"[-0.8948992689357699, -0.4999999999999483, -8.9949748743716]",Success
false,1.9103005436472722,false,"[-0.8948992689357699, -0.4999999999999483, -8.894472361808786]",Success
false,2.078892453298354,false,"[-0.8948992689357699, -0.4999999999999483, -8.793969849245972]",Success
false,2.3691203612456984,false,"[-0.8948992689357699, -0.4999999999999483, -8.693467336683158]",Success
false,2.799294992257385,false,"[-0.8948992689357699, -0.4999999999999483, -8.592964824120344]",Success
false,3.164917988476369,false,"[-0.8948992689357699, -0.4999999999999483, -8.49246231155753]",Success
false,2.633088896721615,true,"[-0.8948992689357699, -0.4999999999999483, -8.391959798994716]",Success
false,1.8558058882046125,false,"[-0.8948992689357699, -0.4999999999999483, -8.291457286431902]",Success
true,2.0893529085700516e-9,true,"[-0.8948992689357699, -0.4999999999999483, -8.190954773869088]",Terminated
true,1.1829023811273731e-9,true,"[-0.8948992689357699, -0.4999999999999483, -8.090452261306273]",Terminated
true,8.946962112290418e-9,true,"[-0.8948992689357699, -0.4999999999999483, -7.989949748743459]",Terminated
true,2.977388551279417e-8,true,"[-0.8948992689357699, -0.4999999999999483, -7.889447236180645]",Terminated
true,3.0971390934702015e-9,true,"[-0.8948992689357699, -0.4999999999999483, -7.788944723617831]",Terminated
true,3.004190600346253e-8,true,"[-0.8948992689357699, -0.4999999999999483, -7.688442211055017]",Terminated
true,8.10176582114739e-9,true,"[-0.8948992689357699, -0.4999999999999483, -7.587939698492203]",Terminated
true,2.845493010877349e-8,true,"[-0.8948992689357699, -0.4999999999999483, -7.487437185929389]",Terminated
true,2.4456498442556195e-9,true,"[-0.8948992689357699, -0.4999999999999483, -7.386934673366575]",Terminated
true,4.7687930431596295e-8,true,"[-0.8948992689357699, -0.4999999999999483, -7.286432160803761]",Terminated
true,4.042057976082958e-8,true,"[-0.8948992689357699, -0.4999999999999483, -7.185929648240947]",Terminated
true,4.349603391358103e-8,true,"[-0.8948992689357699, -0.4999999999999483, -7.085427135678133]",Terminated
true,1.0387979778990182e-9,true,"[-0.8948992689357699, -0.4999999999999483, -6.984924623115319]",Terminated
true,1.6388097719829098e-8,true,"[-0.8948992689357699, -0.4999999999999483, -6.884422110552505]",Terminated
true,1.6413600816363096e-9,true,"[-0.8948992689357699, -0.4999999999999483, -6.783919597989691]",Terminated
true,1.3838434490699665e-8,true,"[-0.8948992689357699, -0.4999999999999483, -6.683417085426877]",Terminated
true,3.334343061688451e-9,true,"[-0.8948992689357699, -0.4999999999999483, -6.582914572864063]",Terminated
true,1.2503680567039982e-8,true,"[-0.8948992689357699, -0.4999999999999483, -6.4824120603012485]",Terminated
true,5.107691883427313e-9,true,"[-0.8948992689357699, -0.4999999999999483, -6.381909547738434]",Terminated
true,2.297145663603543e-7,true,"[-0.8948992689357699, -0.4999999999999483, -6.28140703517562]",Terminated
false,2.193257639898606,true,"[-0.8948992689357699, -0.4999999999999483, -6.180904522612806]",Success
false,1.8123142569963429,true,"[-0.8948992689357699, -0.4999999999999483, -6.080402010049992]",Success
false,1.6600185865419164,true,"[-0.8948992689357699, -0.4999999999999483, -5.979899497487178]",Success
false,1.8128774036088973,true,"[-0.8948992689357699, -0.4999999999999483, -5.879396984924364]",Success
false,1.947662657171339,true,"[-0.8948992689357699, -0.4999999999999483, -5.77889447236155]",Success
false,2.019875164065071,true,"[-0.8948992689357699, -0.4999999999999483, -5.678391959798736]",Success
false,2.0286116301116945,true,"[-0.8948992689357699, -0.4999999999999483, -5.577889447235922]",Success
false,1.986877952429316,true,"[-0.8948992689357699, -0.4999999999999483, -5.477386934673108]",Success
false,1.9065252551235115,true,"[-0.8948992689357699, -0.4999999999999483, -5.376884422110294]",Success
false,1.803984662726908,true,"[-0.8948992689357699, -0.4999999999999483, -5.27638190954748]",Success
