within_threshold,final_distance,convergence,perturbation,retcode
true,7.593571128479435e-9,true,"[-0.8952432699257643, -0.5000000000085358, -10.000000000042677]",Terminated
true,2.4886022181006003e-8,true,"[-0.8952432699257643, -0.5000000000085358, -9.899497487479863]",Terminated
true,8.077698817837724e-8,true,"[-0.8952432699257643, -0.5000000000085358, -9.798994974917049]",Terminated
true,2.0026312431728253e-8,true,"[-0.8952432699257643, -0.5000000000085358, -9.698492462354235]",Terminated
true,2.9543445430146063e-8,true,"[-0.8952432699257643, -0.5000000000085358, -9.59798994979142]",Terminated
false,1.6469014868260874,true,"[-0.8952432699257643, -0.5000000000085358, -9.497487437228607]",Success
false,2.2036835594684687,true,"[-0.8952432699257643, -0.5000000000085358, -9.396984924665793]",Success
false,2.6166828750091295,true,"[-0.8952432699257643, -0.5000000000085358, -9.296482412102979]",Success
false,2.799504842477792,true,"[-0.8952432699257643, -0.5000000000085358, -9.195979899540164]",Success
false,2.8454280568422132,true,"[-0.8952432699257643, -0.5000000000085358, -9.09547738697735]",Success
false,2.800469975008212,true,"[-0.8952432699257643, -0.5000000000085358, -8.994974874414536]",Success
false,2.672613774467121,true,"[-0.8952432699257643, -0.5000000000085358, -8.894472361851722]",Success
false,2.458166445442383,true,"[-0.8952432699257643, -0.5000000000085358, -8.793969849288908]",Success
false,2.1669846873433936,true,"[-0.8952432699257643, -0.5000000000085358, -8.693467336726094]",Success
false,1.8469145051306353,true,"[-0.8952432699257643, -0.5000000000085358, -8.59296482416328]",Success
false,1.637146489386442,true,"[-0.8952432699257643, -0.5000000000085358, -8.492462311600466]",Success
false,1.9767250182915248,false,"[-0.8952432699257643, -0.5000000000085358, -8.391959799037652]",Success
false,2.753153330305665,true,"[-0.8952432699257643, -0.5000000000085358, -8.291457286474838]",Success
true,9.940609489895889e-9,true,"[-0.8952432699257643, -0.5000000000085358, -8.190954773912024]",Terminated
true,3.543225894788824e-8,true,"[-0.8952432699257643, -0.5000000000085358, -8.09045226134921]",Terminated
true,1.0409002869068445e-8,true,"[-0.8952432699257643, -0.5000000000085358, -7.989949748786396]",Terminated
true,3.444671560252269e-8,true,"[-0.8952432699257643, -0.5000000000085358, -7.889447236223582]",Terminated
true,1.655639379650904e-8,true,"[-0.8952432699257643, -0.5000000000085358, -7.788944723660768]",Terminated
true,2.6973533462543984e-8,true,"[-0.8952432699257643, -0.5000000000085358, -7.688442211097954]",Terminated
true,5.62792075848272e-8,true,"[-0.8952432699257643, -0.5000000000085358, -7.5879396985351395]",Terminated
true,1.6610052696741914e-8,true,"[-0.8952432699257643, -0.5000000000085358, -7.487437185972325]",Terminated
true,6.865043417916471e-9,true,"[-0.8952432699257643, -0.5000000000085358, -7.386934673409511]",Terminated
true,4.215641539035551e-8,true,"[-0.8952432699257643, -0.5000000000085358, -7.286432160846697]",Terminated
true,1.2116791536476855e-8,true,"[-0.8952432699257643, -0.5000000000085358, -7.185929648283883]",Terminated
true,2.5189886118356383e-8,true,"[-0.8952432699257643, -0.5000000000085358, -7.085427135721069]",Terminated
true,2.021140802783373e-8,true,"[-0.8952432699257643, -0.5000000000085358, -6.984924623158255]",Terminated
true,2.3522500161535397e-7,true,"[-0.8952432699257643, -0.5000000000085358, -6.884422110595441]",Terminated
true,3.0159911863785394e-8,true,"[-0.8952432699257643, -0.5000000000085358, -6.783919598032627]",Terminated
true,2.6044399696859326e-8,true,"[-0.8952432699257643, -0.5000000000085358, -6.683417085469813]",Terminated
true,7.232632134022563e-9,true,"[-0.8952432699257643, -0.5000000000085358, -6.582914572906999]",Terminated
true,9.06601787829104e-10,true,"[-0.8952432699257643, -0.5000000000085358, -6.482412060344185]",Terminated
true,9.7379384940181e-9,true,"[-0.8952432699257643, -0.5000000000085358, -6.381909547781371]",Terminated
true,1.080717962921607e-9,true,"[-0.8952432699257643, -0.5000000000085358, -6.281407035218557]",Terminated
false,2.4004937235023425,false,"[-0.8952432699257643, -0.5000000000085358, -6.180904522655743]",Success
false,2.811635708308637,true,"[-0.8952432699257643, -0.5000000000085358, -6.080402010092929]",Success
false,3.150506068615759,false,"[-0.8952432699257643, -0.5000000000085358, -5.9798994975301145]",Success
false,2.911776917639371,false,"[-0.8952432699257643, -0.5000000000085358, -5.8793969849673005]",Success
