within_threshold,final_distance,convergence,perturbation,retcode
false,3.1691175539371725,false,"[0.021918083435827785, 0.012246117633938222, -9.99999999999974]",Success
false,3.1704486312929423,false,"[0.030691763692108614, 0.01714816670294335, -9.99999999999974]",Success
false,3.167300814921377,false,"[0.03946544394838943, 0.022050215771948472, -9.99999999999974]",Success
false,3.164429630544474,false,"[0.04823912420467026, 0.026952264840953595, -9.99999999999974]",Success
false,3.162137330135375,false,"[0.05701280446095108, 0.03185431390995872, -9.99999999999974]",Success
false,3.1602672532591956,false,"[0.06578648471723192, 0.03675636297896384, -9.99999999999974]",Success
false,3.158389573435211,true,"[0.07456016497351274, 0.04165841204796897, -9.99999999999974]",Success
false,3.156454213123802,true,"[0.08333384522979356, 0.046560461116974095, -9.99999999999974]",Success
false,3.1664714269920062,false,"[0.0921075254860744, 0.05146251018597922, -9.99999999999974]",Success
false,3.149729432847558,true,"[0.10088120574235522, 0.05636455925498435, -9.99999999999974]",Success
false,3.1448277190490224,true,"[0.10965488599863604, 0.06126660832398947, -9.99999999999974]",Success
false,3.1388247570202683,true,"[0.11842856625491688, 0.0661686573929946, -9.99999999999974]",Success
false,3.129949329058812,true,"[0.1272022465111977, 0.07107070646199971, -9.99999999999974]",Success
false,3.119394918828445,true,"[0.13597592676747852, 0.07597275553100485, -9.99999999999974]",Success
false,3.1061346622957062,true,"[0.14474960702375936, 0.08087480460000997, -9.99999999999974]",Success
false,3.0900232785859827,true,"[0.15352328728004017, 0.0857768536690151, -9.99999999999974]",Success
false,3.0713710051221903,true,"[0.162296967536321, 0.09067890273802022, -9.99999999999974]",Success
false,3.0478316614210623,true,"[0.1710706477926018, 0.09558095180702533, -9.99999999999974]",Success
false,3.0734469957902215,true,"[0.17984432804888267, 0.10048300087603047, -9.99999999999974]",Success
false,2.986824039061473,true,"[0.18861800830516348, 0.10538504994503559, -9.99999999999974]",Success
false,2.9486877927676316,true,"[0.19739168856144432, 0.11028709901404073, -9.99999999999974]",Success
false,2.905807953441517,true,"[0.20616536881772513, 0.11518914808304584, -9.99999999999974]",Success
