within_threshold,final_distance,convergence,perturbation,retcode
false,1.7457196311361152,true,"[0.022182284762397333, 0.012388970410587624, -10.000000000042677]",Success
false,1.6899784203867,true,"[0.030956767025345746, 0.01728958377338107, -10.000000000042677]",Success
false,1.6506602659263983,true,"[0.039731249288294156, 0.022190197136174514, -10.000000000042677]",Success
false,1.6334473438498862,true,"[0.04850573155124257, 0.027090810498967964, -10.000000000042677]",Success
false,1.6482836054860728,true,"[0.057280213814190975, 0.03199142386176141, -10.000000000042677]",Success
false,1.709582731803892,true,"[0.06605469607713939, 0.036892037224554856, -10.000000000042677]",Success
false,1.8386186320831763,true,"[0.0748291783400878, 0.0417926505873483, -10.000000000042677]",Success
false,2.0671932691285244,false,"[0.08360366060303621, 0.04669326395014175, -10.000000000042677]",Success
false,2.429322697442883,false,"[0.09237814286598463, 0.051593877312935195, -10.000000000042677]",Success
false,2.90856535517717,false,"[0.10115262512893304, 0.05649449067572865, -10.000000000042677]",Success
false,3.159709714804787,false,"[0.10992710739188145, 0.06139510403852209, -10.000000000042677]",Success
false,2.271798480219231,true,"[0.11870158965482988, 0.06629571740131554, -10.000000000042677]",Success
false,2.9703189489611255,false,"[0.12747607191777827, 0.07119633076410899, -10.000000000042677]",Success
true,8.59835216449461e-9,true,"[0.1362505541807267, 0.07609694412690243, -10.000000000042677]",Terminated
true,3.090636197600974e-9,true,"[0.14502503644367512, 0.08099755748969588, -10.000000000042677]",Terminated
true,3.372772722451963e-8,true,"[0.1537995187066235, 0.08589817085248931, -10.000000000042677]",Terminated
true,2.9089688601357337e-9,true,"[0.16257400096957195, 0.09079878421528277, -10.000000000042677]",Terminated
true,1.8418260670861754e-8,true,"[0.17134848323252033, 0.09569939757807622, -10.000000000042677]",Terminated
true,8.84011284251582e-9,true,"[0.18012296549546877, 0.10060001094086966, -10.000000000042677]",Terminated
true,3.0882228223480125e-8,true,"[0.18889744775841716, 0.10550062430366311, -10.000000000042677]",Terminated
true,1.7331557374313164e-8,true,"[0.1976719300213656, 0.11040123766645656, -10.000000000042677]",Terminated
true,3.466303254805729e-8,true,"[0.20644641228431398, 0.11530185102925, -10.000000000042677]",Terminated
true,1.7468232203172606e-9,true,"[0.21522089454726243, 0.12020246439204346, -10.000000000042677]",Terminated
true,1.799332757752003e-8,true,"[0.2239953768102108, 0.1251030777548369, -10.000000000042677]",Terminated
true,9.754467127043768e-9,true,"[0.23276985907315922, 0.13000369111763033, -10.000000000042677]",Terminated
true,1.6110112651146195e-8,true,"[0.24154434133610764, 0.1349043044804238, -10.000000000042677]",Terminated
true,3.433246191655024e-8,true,"[0.25031882359905605, 0.13980491784321725, -10.000000000042677]",Terminated
true,3.398454848997576e-8,true,"[0.25909330586200446, 0.14470553120601068, -10.000000000042677]",Terminated
true,3.5267256215797834e-7,true,"[0.2678677881249529, 0.14960614456880414, -10.000000000042677]",Terminated
true,9.424865199329487e-9,true,"[0.2766422703879013, 0.15450675793159757, -10.000000000042677]",Terminated
true,3.4197205639647426e-8,true,"[0.2854167526508497, 0.159407371294391, -10.000000000042677]",Terminated
true,3.4949593612969055e-8,true,"[0.2941912349137981, 0.1643079846571845, -10.000000000042677]",Terminated
true,7.534026706046295e-9,true,"[0.30296571717674653, 0.16920859801997792, -10.000000000042677]",Terminated
true,3.59873696413208e-7,true,"[0.31174019943969494, 0.17410921138277136, -10.000000000042677]",Terminated
true,2.8366528834775474e-8,true,"[0.32051468170264336, 0.1790098247455648, -10.000000000042677]",Terminated
true,5.708336370783633e-9,true,"[0.32928916396559177, 0.18391043810835828, -10.000000000042677]",Terminated
true,9.162568327493601e-9,true,"[0.3380636462285402, 0.1888110514711517, -10.000000000042677]",Terminated
true,2.361057605313148e-9,true,"[0.3468381284914886, 0.19371166483394514, -10.000000000042677]",Terminated
true,3.431595915077177e-8,true,"[0.355612610754437, 0.1986122781967386, -10.000000000042677]",Terminated
true,1.8825924157144095e-8,true,"[0.3643870930173854, 0.20351289155953203, -10.000000000042677]",Terminated
true,5.4261510240387265e-8,true,"[0.37316157528033383, 0.2084135049223255, -10.000000000042677]",Terminated
true,3.511379386323221e-8,true,"[0.38193605754328225, 0.21331411828511895, -10.000000000042677]",Terminated
true,3.068841194331369e-8,true,"[0.39071053980623066, 0.21821473164791239, -10.000000000042677]",Terminated
true,9.19184728087973e-9,true,"[0.3994850220691791, 0.22311534501070582, -10.000000000042677]",Terminated
true,3.404532058989685e-8,true,"[0.4082595043321275, 0.22801595837349928, -10.000000000042677]",Terminated
true,1.926135972617923e-8,true,"[0.4170339865950759, 0.23291657173629274, -10.000000000042677]",Terminated
true,8.375815898001248e-9,true,"[0.4258084688580243, 0.23781718509908617, -10.000000000042677]",Terminated
true,1.521994759317068e-8,true,"[0.4345829511209727, 0.2427177984618796, -10.000000000042677]",Terminated
true,9.196413267736703e-9,true,"[0.44335743338392114, 0.24761841182467306, -10.000000000042677]",Terminated
true,3.211060461927296e-12,true,"[0.45213191564686955, 0.2525190251874665, -10.000000000042677]",Terminated
true,1.587533466365378e-8,true,"[0.4609063979098179, 0.25741963855025995, -10.000000000042677]",Terminated
true,1.2774014424369255e-9,true,"[0.4696808801727664, 0.2623202519130534, -10.000000000042677]",Terminated
true,9.840350423435181e-9,true,"[0.47845536243571485, 0.2672208652758469, -10.000000000042677]",Terminated
true,1.7159519091781848e-8,true,"[0.48722984469866315, 0.2721214786386403, -10.000000000042677]",Terminated
true,3.389561967923638e-8,true,"[0.4960043269616116, 0.27702209200143374, -10.000000000042677]",Terminated
true,4.586963480652277e-9,true,"[0.50477880922456, 0.28192270536422714, -10.000000000042677]",Terminated
true,1.0338500099299451e-7,true,"[0.5135532914875084, 0.28682331872702066, -10.000000000042677]",Terminated
true,6.174102480576549e-9,true,"[0.5223277737504569, 0.2917239320898141, -10.000000000042677]",Terminated
true,8.714608916465422e-9,true,"[0.5311022560134052, 0.2966245454526075, -10.000000000042677]",Terminated
true,9.99500087038605e-10,true,"[0.5398767382763537, 0.301525158815401, -10.000000000042677]",Terminated
true,1.2061117258795033e-9,true,"[0.548651220539302, 0.3064257721781944, -10.000000000042677]",Terminated
true,3.092011571893121e-7,true,"[0.5574257028022505, 0.31132638554098785, -10.000000000042677]",Terminated
true,3.3870822925576243e-8,true,"[0.566200185065199, 0.3162269989037813, -10.000000000042677]",Terminated
true,1.3313644998128775e-9,true,"[0.5749746673281473, 0.32112761226657477, -10.000000000042677]",Terminated
true,3.5246320062103827e-8,true,"[0.5837491495910957, 0.32602822562936823, -10.000000000042677]",Terminated
true,1.893444640588158e-8,true,"[0.5925236318540442, 0.3309288389921617, -10.000000000042677]",Terminated
true,8.702988274384024e-9,true,"[0.6012981141169925, 0.3358294523549551, -10.000000000042677]",Terminated
true,4.5112480474545584e-10,true,"[0.610072596379941, 0.34073006571774855, -10.000000000042677]",Terminated
true,1.0262954914703836e-8,true,"[0.6188470786428893, 0.34563067908054196, -10.000000000042677]",Terminated
true,8.41206662241292e-9,true,"[0.6276215609058378, 0.3505312924433354, -10.000000000042677]",Terminated
true,3.2485272761042894e-8,true,"[0.6363960431687863, 0.35543190580612893, -10.000000000042677]",Terminated
true,7.92636838512945e-9,true,"[0.6451705254317346, 0.36033251916892234, -10.000000000042677]",Terminated
true,4.279394553801668e-8,true,"[0.6539450076946831, 0.3652331325317158, -10.000000000042677]",Terminated
true,4.0426547429956196e-10,true,"[0.6627194899576314, 0.3701337458945092, -10.000000000042677]",Terminated
true,1.7616508124867026e-8,true,"[0.6714939722205798, 0.37503435925730266, -10.000000000042677]",Terminated
