within_threshold,final_distance,convergence,perturbation,retcode
false,1.6768374209898262,false,"[-0.02191808343582778, -0.012246117633938226]",Success
false,1.7279546084235788,false,"[-0.03069176369210861, -0.017148166702943352]",Success
false,1.7739474497733234,false,"[-0.03946544394838943, -0.02205021577194848]",Success
false,1.813286858680968,true,"[-0.048239124204670254, -0.026952264840953605]",Success
false,1.8458733027345924,true,"[-0.057012804460951076, -0.03185431390995873]",Success
false,1.8722908363843433,true,"[-0.0657864847172319, -0.036756362978963855]",Success
false,1.8944749858706853,true,"[-0.07456016497351273, -0.04165841204796898]",Success
false,1.9127297463548036,true,"[-0.08333384522979356, -0.04656046111697411]",Success
false,1.9268621651421094,true,"[-0.09210752548607438, -0.05146251018597924]",Success
false,1.9389141050433942,true,"[-0.1008812057423552, -0.05636455925498437]",Success
false,1.948362487936589,true,"[-0.10965488599863603, -0.06126660832398949]",Success
false,1.9557869675086221,true,"[-0.11842856625491686, -0.06616865739299461]",Success
false,1.9614060108126736,true,"[-0.1272022465111977, -0.07107070646199974]",Success
false,1.9659353193454816,true,"[-0.13597592676747852, -0.07597275553100488]",Success
false,1.9692284172729513,true,"[-0.14474960702375933, -0.08087480460001]",Success
false,1.9714275369416696,true,"[-0.15352328728004014, -0.08577685366901512]",Success
false,1.9723408792392443,true,"[-0.16229696753632097, -0.09067890273802025]",Success
false,1.9720830579543758,true,"[-0.1710706477926018, -0.09558095180702537]",Success
false,1.9720027723047195,true,"[-0.17984432804888265, -0.1004830008760305]",Success
false,1.9709169485976543,true,"[-0.18861800830516345, -0.10538504994503563]",Success
false,1.9689034381031647,true,"[-0.1973916885614443, -0.11028709901404075]",Success
false,1.902956426817266,true,"[-0.2061653688177251, -0.11518914808304588]",Success
false,1.9641105771497782,true,"[-0.21493904907400593, -0.12009119715205102]",Success
false,1.9609746751370838,true,"[-0.22371272933028677, -0.12499324622105613]",Success
false,1.9583861369148163,true,"[-0.23248640958656758, -0.12989529529006125]",Success
false,1.9546944228836247,true,"[-0.24126008984284839, -0.13479734435906637]",Success
false,1.950035732904074,true,"[-0.25003377009912925, -0.13969939342807153]",Success
false,1.946782594866998,true,"[-0.2588074503554101, -0.14460144249707665]",Success
false,1.9431350505448712,true,"[-0.26758113061169086, -0.14950349156608175]",Success
false,1.9396438835831882,true,"[-0.2763548108679717, -0.15440554063508688]",Success
false,1.9340130635242643,true,"[-0.2851284911242525, -0.159307589704092]",Success
false,1.930070456843995,true,"[-0.2939021713805334, -0.16420963877309716]",Success
false,1.9253255718793898,true,"[-0.3026758516368142, -0.1691116878421023]",Success
false,1.9196888391010778,true,"[-0.311449531893095, -0.1740137369111074]",Success
false,1.9154773673505119,true,"[-0.3202232121493758, -0.1789157859801125]",Success
false,1.910258831435306,true,"[-0.32899689240565666, -0.18381783504911767]",Success
false,1.9050637446500214,true,"[-0.3377705726619375, -0.1887198841181228]",Success
false,1.8997939250192712,true,"[-0.34654425291821833, -0.1936219331871279]",Success
false,1.893332444895569,true,"[-0.3553179331744991, -0.19852398225613302]",Success
false,1.8883457708789395,true,"[-0.36409161343077995, -0.20342603132513815]",Success
false,1.8832740947358353,true,"[-0.3728652936870608, -0.2083280803941433]",Success
false,1.8776994677671899,true,"[-0.3816389739433416, -0.21323012946314843]",Success
false,1.8724573453081645,true,"[-0.3904126541996224, -0.21813217853215353]",Success
false,1.8672458841866113,true,"[-0.39918633445590324, -0.22303422760115865]",Success
false,1.8617193066324502,true,"[-0.4079600147121841, -0.2279362766701638]",Success
false,1.8561581328936558,true,"[-0.4167336949684649, -0.23283832573916893]",Success
false,1.798948598411799,true,"[-0.42550737522474574, -0.23774037480817403]",Success
false,1.8442165254952023,true,"[-0.4342810554810265, -0.24264242387717916]",Success
false,1.8381860981612845,true,"[-0.44305473573730736, -0.24754447294618429]",Success
false,1.8335557066462769,true,"[-0.45182841599358825, -0.2524465220151894]",Success
false,1.8276324365107226,true,"[-0.460602096249869, -0.2573485710841945]",Success
false,1.8215338009213757,true,"[-0.46937577650614987, -0.26225062015319967]",Success
false,1.8169897098920078,true,"[-0.4781494567624307, -0.2671526692222048]",Success
false,1.8109516458428665,true,"[-0.4869231370187115, -0.2720547182912099]",Success
false,1.805757368930599,true,"[-0.4956968172749923, -0.2769567673602151]",Success
false,1.7998347073678143,true,"[-0.5044704975312732, -0.28185881642922017]",Success
false,1.7940819504428975,true,"[-0.5132441777875539, -0.2867608654982253]",Success
false,1.7884996171544956,true,"[-0.5220178580438348, -0.2916629145672305]",Success
false,1.7832988400076208,true,"[-0.5307915383001156, -0.2965649636362355]",Success
false,1.778329676254854,true,"[-0.5395652185563965, -0.3014670127052407]",Success
false,1.7727975119807071,true,"[-0.5483388988126773, -0.3063690617742458]",Success
false,1.7677777404020598,true,"[-0.5571125790689581, -0.31127111084325093]",Success
false,1.7627312576924863,true,"[-0.565886259325239, -0.3161731599122561]",Success
false,1.7199642677413223,true,"[-0.5746599395815197, -0.3210752089812612]",Success
false,1.7527146988829256,true,"[-0.5834336198378006, -0.32597725805026634]",Success
false,1.74714849542456,true,"[-0.5922073000940814, -0.3308793071192715]",Success
false,1.742252652707016,true,"[-0.6009809803503622, -0.3357813561882766]",Success
false,1.7377045387103025,true,"[-0.6097546606066431, -0.3406834052572817]",Success
false,1.733119714247099,true,"[-0.6185283408629239, -0.3455854543262868]",Success
false,1.7279321548454387,true,"[-0.6273020211192047, -0.35048750339529194]",Success
false,1.7235859113604381,true,"[-0.6360757013754855, -0.3553895524642971]",Success
false,1.7193389404729555,true,"[-0.6448493816317663, -0.3602916015333022]",Success
false,1.71466971777327,true,"[-0.6536230618880472, -0.36519365060230735]",Success
false,1.710449735847193,true,"[-0.662396742144328, -0.37009569967131245]",Success
false,1.7062904918504156,true,"[-0.6711704224006089, -0.3749977487403176]",Success
false,1.702236516504422,true,"[-0.6799441026568896, -0.37989979780932276]",Success
false,1.6982888250772423,true,"[-0.6887177829131704, -0.3848018468783278]",Success
false,1.6946182555316305,true,"[-0.6974914631694513, -0.38970389594733296]",Success
false,1.6909059596542688,true,"[-0.7062651434257321, -0.39460594501633806]",Success
false,1.687306245714434,true,"[-0.715038823682013, -0.3995079940853432]",Success
false,1.6834682769213087,true,"[-0.7238125039382938, -0.40441004315434836]",Success
false,1.68026914619158,true,"[-0.7325861841945746, -0.40931209222335346]",Success
false,1.677054062330223,true,"[-0.7413598644508554, -0.4142141412923586]",Success
false,1.673962127914433,true,"[-0.7501335447071362, -0.4191161903613637]",Success
false,1.6709850474722419,true,"[-0.7589072249634171, -0.42401823943036887]",Success
false,1.6682718665143805,true,"[-0.7676809052196979, -0.42892028849937397]",Success
false,1.6655348135052073,true,"[-0.7764545854759787, -0.43382233756837907]",Success
false,1.6628895501554255,true,"[-0.7852282657322596, -0.4387243866373842]",Success
false,1.6603842143496574,true,"[-0.7940019459885405, -0.4436264357063894]",Success
false,1.6579565734066544,true,"[-0.8027756262448212, -0.4485284847753945]",Success
false,1.655844184612458,true,"[-0.811549306501102, -0.45343053384439963]",Success
false,1.6536003029902355,true,"[-0.8203229867573828, -0.45833258291340473]",Success
false,1.6516575393107384,true,"[-0.8290966670136637, -0.4632346319824099]",Success
false,1.649927310389992,true,"[-0.8378703472699446, -0.46813668105141504]",Success
false,1.6482318245939689,true,"[-0.8466440275262254, -0.4730387301204201]",Success
false,1.6467021460880844,true,"[-0.8554177077825061, -0.47794077918942524]",Success
false,1.645277334120074,true,"[-0.8641913880387869, -0.48284282825843033]",Success
false,1.6439904736911193,true,"[-0.8729650682950678, -0.4877448773274355]",Success
false,1.6428116867909233,true,"[-0.8817387485513487, -0.49264692639644064]",Success
false,1.6417538818043567,true,"[-0.8905124288076295, -0.4975489754654458]",Success
false,1.6408859981143762,true,"[-0.8992861090639102, -0.5024510245344508]",Success
false,1.6401537732235507,true,"[-0.908059789320191, -0.5073530736034559]",Success
false,1.6395760729391304,true,"[-0.9168334695764719, -0.5122551226724611]",Success
false,1.6390910849999984,true,"[-0.9256071498327528, -0.5171571717414662]",Success
false,1.638736568056368,true,"[-0.9343808300890336, -0.5220592208104714]",Success
false,1.6385118643838066,true,"[-0.9431545103453143, -0.5269612698794764]",Success
false,1.6384163368143134,true,"[-0.9519281906015952, -0.5318633189484816]",Success
false,1.6384494032924142,true,"[-0.9607018708578761, -0.5367653680174868]",Success
false,1.6441550403918967,true,"[-0.969475551114157, -0.5416674170864919]",Success
false,1.6389062073916614,true,"[-0.9782492313704377, -0.5465694661554971]",Success
false,1.6393237188651062,true,"[-0.9870229116267184, -0.5514715152245021]",Success
false,1.6398668805969714,true,"[-0.9957965918829993, -0.5563735642935073]",Success
false,1.6405753335856887,true,"[-1.0045702721392802, -0.5612756133625124]",Success
false,1.641377229198103,true,"[-1.013343952395561, -0.5661776624315176]",Success
false,1.6423446917304938,true,"[-1.022117632651842, -0.5710797115005227]",Success
false,1.6434056805701167,true,"[-1.0308913129081225, -0.5759817605695278]",Success
false,1.644454571883933,true,"[-1.0396649931644035, -0.5808838096385329]",Success
false,1.6457413796856855,true,"[-1.0484386734206843, -0.585785858707538]",Success
false,1.6471868205819569,true,"[-1.057212353676965, -0.5906879077765431]",Success
false,1.6486436473692054,true,"[-1.065986033933246, -0.5955899568455483]",Success
false,1.6502357352870785,true,"[-1.0747597141895266, -0.6004920059145533]",Success
false,1.652092108355739,true,"[-1.0835333944458077, -0.6053940549835585]",Success
false,1.6537801756054071,true,"[-1.0923070747020884, -0.6102961040525636]",Success
false,1.6558810831593385,true,"[-1.1010807549583692, -0.6151981531215688]",Success
false,1.6579377029917737,true,"[-1.1098544352146502, -0.6201002021905739]",Success
false,1.6599563694012291,true,"[-1.118628115470931, -0.6250022512595791]",Success
false,1.6621999010889892,true,"[-1.1274017957272118, -0.6299043003285841]",Success
false,1.6645348257806518,true,"[-1.1361754759834926, -0.6348063493975893]",Success
false,1.6668243582390203,true,"[-1.1449491562397733, -0.6397083984665944]",Success
false,1.6693596023248816,true,"[-1.1537228364960543, -0.6446104475355996]",Success
false,1.6719914257735269,true,"[-1.1624965167523351, -0.6495124966046047]",Success
false,1.6747212780275078,true,"[-1.1712701970086157, -0.6544145456736098]",Success
false,1.677545019438937,true,"[-1.1800438772648967, -0.659316594742615]",Success
false,1.6804616070687612,true,"[-1.1888175575211775, -0.6642186438116201]",Success
false,1.6834685093340163,true,"[-1.1975912377774585, -0.6691206928806251]",Success
false,1.6865641565856944,true,"[-1.2063649180337392, -0.6740227419496303]",Success
false,1.6898360753064512,true,"[-1.2151385982900198, -0.6789247910186353]",Success
false,1.6931167533109301,true,"[-1.2239122785463008, -0.6838268400876405]",Success
false,1.6964836027188406,true,"[-1.2326859588025816, -0.6887288891566457]",Success
false,1.6999332873841762,true,"[-1.2414596390588626, -0.6936309382256508]",Success
false,1.7038476559255442,true,"[-1.2502333193151434, -0.698532987294656]",Success
false,1.7072431630237925,true,"[-1.259006999571424, -0.703435036363661]",Success
false,1.7111340300088413,true,"[-1.267780679827705, -0.7083370854326662]",Success
false,1.7149410096471096,true,"[-1.2765543600839857, -0.7132391345016713]",Success
false,1.718822860281792,true,"[-1.2853280403402667, -0.7181411835706765]",Success
false,1.7223898242946314,true,"[-1.2941017205965475, -0.7230432326396816]",Success
false,1.7263704858831377,true,"[-1.302875400852828, -0.7279452817086867]",Success
false,1.7304149119193424,true,"[-1.311649081109109, -0.7328473307776918]",Success
false,1.7345184540260354,true,"[-1.3204227613653898, -0.737749379846697]",Success
false,1.7390236926964966,true,"[-1.3291964416216708, -0.7426514289157021]",Success
false,1.7426169347163294,true,"[-1.3379701218779516, -0.7475534779847073]",Success
false,1.7467957547807722,true,"[-1.3467438021342322, -0.7524555270537123]",Success
false,1.751882058979146,true,"[-1.3555174823905132, -0.7573575761227175]",Success
false,1.7559329993343238,true,"[-1.364291162646794, -0.7622596251917225]",Success
false,1.7600400273601833,true,"[-1.373064842903075, -0.7671616742607277]",Success
false,1.7646089997220031,true,"[-1.3818385231593557, -0.7720637233297328]",Success
false,1.7691015770886456,true,"[-1.3906122034156363, -0.7769657723987379]",Success
false,1.7735747472228902,true,"[-1.3993858836719173, -0.781867821467743]",Success
false,1.7788548624178995,true,"[-1.408159563928198, -0.7867698705367482]",Success
