within_threshold,final_distance,convergence,perturbation,retcode
false,1.812035621700411,true,"[-0.02218228476239733, -0.01238897041058763]",Success
false,1.8241011559889624,true,"[-0.030956767025345742, -0.017289583773381082]",Success
false,1.8365923653362746,true,"[-0.03973124928829415, -0.02219019713617453]",Success
false,1.8492441629076517,true,"[-0.04850573155124256, -0.027090810498967978]",Success
false,1.8624399205636828,true,"[-0.05728021381419097, -0.031991423861761424]",Success
false,1.8755671613878546,true,"[-0.06605469607713939, -0.03689203722455488]",Success
false,1.8892299272285775,true,"[-0.0748291783400878, -0.04179265058734832]",Success
false,1.903270489676947,true,"[-0.08360366060303621, -0.046693263950141776]",Success
false,1.9173135029116721,true,"[-0.09237814286598463, -0.05159387731293523]",Success
false,1.931580138087819,true,"[-0.10115262512893304, -0.056494490675728676]",Success
false,1.9462281116260178,true,"[-0.10992710739188144, -0.06139510403852212]",Success
false,1.961477053061091,true,"[-0.11870158965482987, -0.06629571740131558]",Success
false,1.976136413334608,true,"[-0.12747607191777827, -0.07119633076410903]",Success
false,1.9913964218731584,true,"[-0.13625055418072668, -0.07609694412690247]",Success
false,2.007064485176995,true,"[-0.1450250364436751, -0.08099755748969592]",Success
false,2.0227918671810112,true,"[-0.15379951870662348, -0.08589817085248937]",Success
false,2.038706983687222,true,"[-0.16257400096957192, -0.09079878421528283]",Success
false,2.054725990606606,true,"[-0.1713484832325203, -0.09569939757807627]",Success
false,2.0848213356738636,true,"[-0.18012296549546875, -0.10060001094086972]",Success
false,2.087440250863776,true,"[-0.18889744775841713, -0.10550062430366317]",Success
false,2.1040420162696942,true,"[-0.19767193002136557, -0.11040123766645663]",Success
false,2.120859228981215,true,"[-0.20644641228431396, -0.11530185102925007]",Success
false,2.137661953059369,true,"[-0.2152208945472624, -0.12020246439204353]",Success
false,2.154936014615432,true,"[-0.22399537681021078, -0.12510307775483698]",Success
false,2.17175527083132,true,"[-0.2327698590731592, -0.1300036911176304]",Success
false,2.188861498733526,true,"[-0.2415443413361076, -0.13490430448042387]",Success
false,2.2066845056540374,true,"[-0.25031882359905605, -0.13980491784321733]",Success
