within_threshold,final_distance,convergence,perturbation,retcode
false,2.2154176242230177,true,"[-0.9161644269629673, -0.49999999961964625, -9.999999998098232]",Success
false,2.1696490249802807,true,"[-0.9161644269629673, -0.49999999961964625, -9.899497485535418]",Success
true,4.201129275971636e-8,true,"[-0.9161644269629673, -0.49999999961964625, -9.798994972972604]",Terminated
true,6.809162200387486e-9,true,"[-0.9161644269629673, -0.49999999961964625, -9.69849246040979]",Terminated
true,1.4958116098626456e-8,true,"[-0.9161644269629673, -0.49999999961964625, -9.597989947846976]",Terminated
true,2.1559354294753114e-8,true,"[-0.9161644269629673, -0.49999999961964625, -9.497487435284162]",Terminated
true,7.064753033109575e-9,true,"[-0.9161644269629673, -0.49999999961964625, -9.396984922721348]",Terminated
false,2.4878772499582045,false,"[-0.9161644269629673, -0.49999999961964625, -9.296482410158534]",Success
false,2.5772563292608637,false,"[-0.9161644269629673, -0.49999999961964625, -9.19597989759572]",Success
false,2.1253349157827714,true,"[-0.9161644269629673, -0.49999999961964625, -9.095477385032906]",Success
false,2.1008768411342853,true,"[-0.9161644269629673, -0.49999999961964625, -8.994974872470092]",Success
false,2.1142818297444252,true,"[-0.9161644269629673, -0.49999999961964625, -8.894472359907278]",Success
false,2.0967538892944013,true,"[-0.9161644269629673, -0.49999999961964625, -8.793969847344464]",Success
false,2.1155889228557725,true,"[-0.9161644269629673, -0.49999999961964625, -8.69346733478165]",Success
false,2.325022679652661,false,"[-0.9161644269629673, -0.49999999961964625, -8.592964822218836]",Success
false,2.6034031902467722,false,"[-0.9161644269629673, -0.49999999961964625, -8.492462309656021]",Success
false,2.1648896266667648,true,"[-0.9161644269629673, -0.49999999961964625, -8.391959797093207]",Success
false,2.4386283241606623,false,"[-0.9161644269629673, -0.49999999961964625, -8.291457284530393]",Success
true,1.4752510021330628e-8,true,"[-0.9161644269629673, -0.49999999961964625, -8.19095477196758]",Terminated
true,7.866107874736485e-9,true,"[-0.9161644269629673, -0.49999999961964625, -8.090452259404765]",Terminated
true,1.2010494098011941e-8,true,"[-0.9161644269629673, -0.49999999961964625, -7.989949746841951]",Terminated
true,9.893092521890362e-9,true,"[-0.9161644269629673, -0.49999999961964625, -7.889447234279137]",Terminated
true,5.754081777565167e-8,true,"[-0.9161644269629673, -0.49999999961964625, -7.788944721716323]",Terminated
true,3.1769909618489886e-8,true,"[-0.9161644269629673, -0.49999999961964625, -7.688442209153509]",Terminated
false,2.5842306339809573,false,"[-0.9161644269629673, -0.49999999961964625, -7.587939696590695]",Success
false,2.1178972246584378,true,"[-0.9161644269629673, -0.49999999961964625, -7.487437184027881]",Success
false,2.349590828459158,true,"[-0.9161644269629673, -0.49999999961964625, -7.386934671465067]",Success
false,2.4603582487252225,false,"[-0.9161644269629673, -0.49999999961964625, -7.286432158902253]",Success
false,2.46332831871339,false,"[-0.9161644269629673, -0.49999999961964625, -7.185929646339439]",Success
false,2.384983966143291,true,"[-0.9161644269629673, -0.49999999961964625, -7.085427133776625]",Success
false,2.231720770746943,true,"[-0.9161644269629673, -0.49999999961964625, -6.9849246212138105]",Success
false,2.095866211548924,true,"[-0.9161644269629673, -0.49999999961964625, -6.8844221086509965]",Success
false,2.2952628191890576,true,"[-0.9161644269629673, -0.49999999961964625, -6.783919596088182]",Success
false,2.53314115400584,false,"[-0.9161644269629673, -0.49999999961964625, -6.683417083525368]",Success
false,2.520301644158084,false,"[-0.9161644269629673, -0.49999999961964625, -6.582914570962554]",Success
