within_threshold,final_distance,convergence,perturbation,retcode
false,1.8060025230923544,true,"[-0.9154909476207775, -0.4999999994684595, -9.999999997342295]",Success
true,1.4101701335078627e-9,true,"[-0.9154909476207775, -0.4999999994684595, -9.89949748477948]",Terminated
true,1.9152787316088327e-9,true,"[-0.9154909476207775, -0.4999999994684595, -9.798994972216667]",Terminated
true,7.156908039042835e-9,true,"[-0.9154909476207775, -0.4999999994684595, -9.698492459653853]",Terminated
true,2.327433982294344e-8,true,"[-0.9154909476207775, -0.4999999994684595, -9.597989947091039]",Terminated
true,5.969531354021563e-8,true,"[-0.9154909476207775, -0.4999999994684595, -9.497487434528225]",Terminated
false,2.1863788056029265,false,"[-0.9154909476207775, -0.4999999994684595, -9.39698492196541]",Success
false,1.7819529125918265,true,"[-0.9154909476207775, -0.4999999994684595, -9.296482409402596]",Success
false,1.9344295180749953,true,"[-0.9154909476207775, -0.4999999994684595, -9.195979896839782]",Success
false,2.186133768395133,false,"[-0.9154909476207775, -0.4999999994684595, -9.095477384276968]",Success
false,2.283803372298931,false,"[-0.9154909476207775, -0.4999999994684595, -8.994974871714154]",Success
false,2.2604331362414896,false,"[-0.9154909476207775, -0.4999999994684595, -8.89447235915134]",Success
false,2.279394963360666,false,"[-0.9154909476207775, -0.4999999994684595, -8.793969846588526]",Success
false,2.2454190090337227,false,"[-0.9154909476207775, -0.4999999994684595, -8.693467334025712]",Success
false,2.050014643904281,true,"[-0.9154909476207775, -0.4999999994684595, -8.592964821462898]",Success
false,1.780978012060698,true,"[-0.9154909476207775, -0.4999999994684595, -8.492462308900084]",Success
false,2.2285662187254887,false,"[-0.9154909476207775, -0.4999999994684595, -8.39195979633727]",Success
true,2.563465293136361e-8,true,"[-0.9154909476207775, -0.4999999994684595, -8.291457283774456]",Terminated
true,1.237394821608473e-7,true,"[-0.9154909476207775, -0.4999999994684595, -8.190954771211642]",Terminated
true,1.707379017071987e-8,true,"[-0.9154909476207775, -0.4999999994684595, -8.090452258648828]",Terminated
true,4.1156384911185086e-7,true,"[-0.9154909476207775, -0.4999999994684595, -7.989949746086014]",Terminated
true,2.805150189595335e-8,true,"[-0.9154909476207775, -0.4999999994684595, -7.8894472335231995]",Terminated
false,2.24105095206501,false,"[-0.9154909476207775, -0.4999999994684595, -7.7889447209603855]",Success
false,1.8294606108422362,true,"[-0.9154909476207775, -0.4999999994684595, -7.688442208397571]",Success
false,2.0523971909479415,true,"[-0.9154909476207775, -0.4999999994684595, -7.587939695834757]",Success
false,2.26108810636802,false,"[-0.9154909476207775, -0.4999999994684595, -7.487437183271943]",Success
false,2.1582003844135302,false,"[-0.9154909476207775, -0.4999999994684595, -7.386934670709129]",Success
false,1.9182192509304723,true,"[-0.9154909476207775, -0.4999999994684595, -7.286432158146315]",Success
false,1.8598213557611998,true,"[-0.9154909476207775, -0.4999999994684595, -7.185929645583501]",Success
false,1.926637119558384,false,"[-0.9154909476207775, -0.4999999994684595, -7.085427133020687]",Success
false,2.145004776141373,false,"[-0.9154909476207775, -0.4999999994684595, -6.984924620457873]",Success
false,2.2747626453579737,false,"[-0.9154909476207775, -0.4999999994684595, -6.884422107895059]",Success
false,2.013636001579061,true,"[-0.9154909476207775, -0.4999999994684595, -6.783919595332245]",Success
false,1.9878546725248554,false,"[-0.9154909476207775, -0.4999999994684595, -6.683417082769431]",Success
false,1.819829315400219,true,"[-0.9154909476207775, -0.4999999994684595, -6.582914570206617]",Success
true,1.548749796868315e-8,true,"[-0.9154909476207775, -0.4999999994684595, -6.482412057643803]",Terminated
true,3.87592402031593e-8,true,"[-0.9154909476207775, -0.4999999994684595, -6.381909545080989]",Terminated
true,5.868876239334258e-10,true,"[-0.9154909476207775, -0.4999999994684595, -6.281407032518175]",Terminated
true,2.6437588390034812e-8,true,"[-0.9154909476207775, -0.4999999994684595, -6.1809045199553605]",Terminated
true,2.237412860105452e-8,true,"[-0.9154909476207775, -0.4999999994684595, -6.080402007392546]",Terminated
false,1.8913271899877762,true,"[-0.9154909476207775, -0.4999999994684595, -5.979899494829732]",Success
false,2.2121454206215785,false,"[-0.9154909476207775, -0.4999999994684595, -5.879396982266918]",Success
false,2.2651204296801883,false,"[-0.9154909476207775, -0.4999999994684595, -5.778894469704104]",Success
false,1.9213374853014338,true,"[-0.9154909476207775, -0.4999999994684595, -5.67839195714129]",Success
false,1.7867152314239583,true,"[-0.9154909476207775, -0.4999999994684595, -5.577889444578476]",Success
false,1.8820250371066751,true,"[-0.9154909476207775, -0.4999999994684595, -5.477386932015662]",Success
false,1.933326167294447,true,"[-0.9154909476207775, -0.4999999994684595, -5.376884419452848]",Success
false,1.9088573941089195,true,"[-0.9154909476207775, -0.4999999994684595, -5.276381906890034]",Success
false,1.8257771553639377,true,"[-0.9154909476207775, -0.4999999994684595, -5.17587939432722]",Success
false,1.7908316403432916,true,"[-0.9154909476207775, -0.4999999994684595, -5.075376881764406]",Success
false,2.091981765061271,false,"[-0.9154909476207775, -0.4999999994684595, -4.974874369201591]",Success
false,2.2269147181858258,true,"[-0.9154909476207775, -0.4999999994684595, -4.874371856638777]",Success
false,1.7805634749099022,false,"[-0.9154909476207775, -0.4999999994684595, -4.773869344075963]",Success
true,3.31506137395654e-8,true,"[-0.9154909476207775, -0.4999999994684595, -4.673366831513149]",Terminated
true,1.1501093729731625e-7,true,"[-0.9154909476207775, -0.4999999994684595, -4.572864318950335]",Terminated
true,1.2005531270543876e-7,true,"[-0.9154909476207775, -0.4999999994684595, -4.472361806387521]",Terminated
true,3.250487774570632e-7,true,"[-0.9154909476207775, -0.4999999994684595, -4.3718592938247065]",Terminated
true,2.24390380644674e-8,true,"[-0.9154909476207775, -0.4999999994684595, -4.271356781261892]",Terminated
true,3.0165782091651556e-8,true,"[-0.9154909476207775, -0.4999999994684595, -4.170854268699078]",Terminated
false,2.1844012052038932,false,"[-0.9154909476207775, -0.4999999994684595, -4.070351756136264]",Success
false,2.2585535343666754,false,"[-0.9154909476207775, -0.4999999994684595, -3.9698492435734507]",Success
