within_threshold,final_distance,convergence,perturbation,retcode
false,2.602672304895354,false,"[0.03837921612037251, 0.02094559391396698, -9.999999998098232]",Success
false,2.593041093957982,false,"[0.04720117803838854, 0.025760211056737623, -9.999999998098232]",Success
false,2.5991549930578155,false,"[0.05602313995640457, 0.03057482819950827, -9.999999998098232]",Success
false,2.599646711392729,false,"[0.0648451018744206, 0.03538944534227892, -9.999999998098232]",Success
false,2.54276255094409,false,"[0.07366706379243664, 0.04020406248504956, -9.999999998098232]",Success
false,2.4122884722172016,false,"[0.08248902571045266, 0.045018679627820204, -9.999999998098232]",Success
false,2.2591502544531092,true,"[0.09131098762846869, 0.049833296770590854, -9.999999998098232]",Success
false,2.1456297062361562,true,"[0.10013294954648472, 0.0546479139133615, -9.999999998098232]",Success
false,2.0961087107330276,true,"[0.10895491146450074, 0.05946253105613215, -9.999999998098232]",Success
false,2.1021457882648753,true,"[0.11777687338251676, 0.06427714819890279, -9.999999998098232]",Success
false,2.1448083855395854,true,"[0.1265988353005328, 0.06909176534167344, -9.999999998098232]",Success
false,2.206957595541767,true,"[0.13542079721854883, 0.07390638248444407, -9.999999998098232]",Success
false,2.276526635464704,true,"[0.14424275913656487, 0.07872099962721472, -9.999999998098232]",Success
false,2.345006348796466,true,"[0.15306472105458088, 0.08353561676998536, -9.999999998098232]",Success
false,2.408562450436635,true,"[0.16188668297259692, 0.08835023391275601, -9.999999998098232]",Success
false,2.4621081740577084,true,"[0.17070864489061294, 0.09316485105552666, -9.999999998098232]",Success
false,2.5080740683969096,false,"[0.17953060680862898, 0.09797946819829731, -9.999999998098232]",Success
false,2.543192848120409,false,"[0.188352568726645, 0.10279408534106795, -9.999999998098232]",Success
false,2.56932413349065,false,"[0.19717453064466103, 0.1076087024838386, -9.999999998098232]",Success
false,2.587275338395226,false,"[0.20599649256267705, 0.11242331962660924, -9.999999998098232]",Success
false,2.5981646507568135,false,"[0.21481845448069306, 0.11723793676937988, -9.999999998098232]",Success
false,2.6029680191847584,false,"[0.2236404163987091, 0.12205255391215053, -9.999999998098232]",Success
false,2.602797332795265,false,"[0.23246237831672514, 0.12686717105492118, -9.999999998098232]",Success
false,2.5987521881578535,false,"[0.24128434023474116, 0.1316817881976918, -9.999999998098232]",Success
false,2.5914146663290167,false,"[0.2501063021527572, 0.13649640534046248, -9.999999998098232]",Success
false,2.581746829354005,false,"[0.25892826407077324, 0.1413110224832331, -9.999999998098232]",Success
false,2.569944594260522,false,"[0.2677502259887892, 0.14612563962600375, -9.999999998098232]",Success
false,2.557064546822387,false,"[0.27657218790680527, 0.1509402567687744, -9.999999998098232]",Success
false,2.5432691922922226,false,"[0.2853941498248213, 0.15575487391154505, -9.999999998098232]",Success
false,2.5289819318950952,false,"[0.29421611174283735, 0.1605694910543157, -9.999999998098232]",Success
false,2.514308474844056,false,"[0.3030380736608534, 0.16538410819708632, -9.999999998098232]",Success
false,2.4997335649286003,false,"[0.3118600355788694, 0.17019872533985697, -9.999999998098232]",Success
false,2.4848240709103817,false,"[0.3206819974968855, 0.17501334248262765, -9.999999998098232]",Success
false,2.4701096228337156,false,"[0.32950395941490146, 0.17982795962539827, -9.999999998098232]",Success
false,2.4558445596496314,false,"[0.3383259213329175, 0.18464257676816892, -9.999999998098232]",Success
false,2.442559687322789,false,"[0.3471478832509335, 0.18945719391093954, -9.999999998098232]",Success
false,2.428733726995523,false,"[0.3559698451689496, 0.19427181105371022, -9.999999998098232]",Success
false,2.4155537893432104,false,"[0.36479180708696557, 0.19908642819648087, -9.999999998098232]",Success
false,2.4031606777282493,false,"[0.3736137690049816, 0.2039010453392515, -9.999999998098232]",Success
false,2.391296176278753,false,"[0.3824357309229976, 0.20871566248202214, -9.999999998098232]",Success
false,2.3793324882635893,false,"[0.39125769284101364, 0.21353027962479276, -9.999999998098232]",Success
false,2.368320813530364,false,"[0.4000796547590297, 0.21834489676756344, -9.999999998098232]",Success
false,2.357290818790306,false,"[0.4089016166770457, 0.2231595139103341, -9.999999998098232]",Success
