within_threshold,final_distance,convergence,perturbation,retcode
false,2.077593776883553,true,"[0.037853946841702284, 0.02067412403139383, -9.999999997342295]",Success
false,2.0795399458259904,true,"[0.04667441921134124, 0.02549146951317338, -9.999999997342295]",Success
false,2.0815115553532526,true,"[0.055494891580980185, 0.030308814994952936, -9.999999997342295]",Success
false,2.08344956972475,true,"[0.06431536395061914, 0.03512616047673249, -9.999999997342295]",Success
false,2.0854071159250998,true,"[0.07313583632025808, 0.039943505958512045, -9.999999997342295]",Success
false,2.087318062182375,true,"[0.08195630868989703, 0.04476085144029159, -9.999999997342295]",Success
false,2.0892323297378566,true,"[0.09077678105953599, 0.04957819692207115, -9.999999997342295]",Success
false,2.0910956718606277,true,"[0.09959725342917493, 0.0543955424038507, -9.999999997342295]",Success
false,2.093059161632145,true,"[0.10841772579881388, 0.059212887885630255, -9.999999997342295]",Success
false,2.0949557540981703,true,"[0.11723819816845282, 0.0640302333674098, -9.999999997342295]",Success
false,2.0968343519246515,true,"[0.12605867053809178, 0.06884757884918936, -9.999999997342295]",Success
false,2.0987000961944324,true,"[0.13487914290773073, 0.07366492433096891, -9.999999997342295]",Success
false,2.1005622683098863,true,"[0.14369961527736969, 0.07848226981274847, -9.999999997342295]",Success
false,2.102425814948441,true,"[0.1525200876470086, 0.08329961529452802, -9.999999997342295]",Success
false,2.1041438073757917,true,"[0.1613405600166476, 0.08811696077630757, -9.999999997342295]",Success
false,2.106070401852421,true,"[0.17016103238628652, 0.09293430625808712, -9.999999997342295]",Success
false,2.107891387983615,true,"[0.17898150475592547, 0.09775165173986668, -9.999999997342295]",Success
false,2.109743419078712,true,"[0.18780197712556443, 0.10256899722164622, -9.999999997342295]",Success
false,2.111516434890936,true,"[0.19662244949520338, 0.10738634270342579, -9.999999997342295]",Success
false,2.113308243738952,true,"[0.2054429218648423, 0.11220368818520533, -9.999999997342295]",Success
false,2.1150934145651314,true,"[0.21426339423448126, 0.11702103366698488, -9.999999997342295]",Success
false,2.1168623489316687,true,"[0.22308386660412022, 0.12183837914876444, -9.999999997342295]",Success
false,2.1186235429346065,true,"[0.23190433897375917, 0.12665572463054398, -9.999999997342295]",Success
false,2.12037295899767,true,"[0.2407248113433981, 0.13147307011232354, -9.999999997342295]",Success
false,2.1221111450951997,true,"[0.24954528371303708, 0.1362904155941031, -9.999999997342295]",Success
false,2.123840209185609,true,"[0.25836575608267603, 0.14110776107588266, -9.999999997342295]",Success
false,2.125556675049163,true,"[0.26718622845231493, 0.1459251065576622, -9.999999997342295]",Success
false,2.1271587907786325,true,"[0.2760067008219539, 0.15074245203944175, -9.999999997342295]",Success
false,2.1289588229355063,true,"[0.2848271731915929, 0.15555979752122132, -9.999999997342295]",Success
false,2.130647879331274,true,"[0.2936476455612318, 0.16037714300300088, -9.999999997342295]",Success
false,2.1322495644910204,true,"[0.30246811793087075, 0.1651944884847804, -9.999999997342295]",Success
false,2.133932974628035,true,"[0.3112885903005097, 0.17001183396655994, -9.999999997342295]",Success
false,2.1356595721772185,true,"[0.32010906267014866, 0.17482917944833953, -9.999999997342295]",Success
false,2.1372754930633637,true,"[0.3289295350397876, 0.17964652493011907, -9.999999997342295]",Success
false,2.1388718052031805,true,"[0.33775000740942657, 0.18446387041189863, -9.999999997342295]",Success
false,2.1406219647380142,true,"[0.3465704797790655, 0.18928121589367816, -9.999999997342295]",Success
false,2.1422059962995457,true,"[0.3553909521487045, 0.19409856137545775, -9.999999997342295]",Success
false,2.1438135426842653,true,"[0.36421142451834343, 0.19891590685723728, -9.999999997342295]",Success
false,2.1454203647919847,true,"[0.3730318968879824, 0.20373325233901685, -9.999999997342295]",Success
false,2.1469965216481453,true,"[0.3818523692576213, 0.20855059782079638, -9.999999997342295]",Success
false,2.148611781701154,true,"[0.39067284162726024, 0.21336794330257594, -9.999999997342295]",Success
false,2.150182272692518,true,"[0.39949331399689925, 0.2181852887843555, -9.999999997342295]",Success
false,2.1517250765204836,true,"[0.40831378636653815, 0.22300263426613504, -9.999999997342295]",Success
false,2.1532758658258233,true,"[0.4171342587361771, 0.2278199797479146, -9.999999997342295]",Success
false,2.154813009965983,true,"[0.42595473110581605, 0.23263732522969413, -9.999999997342295]",Success
false,2.1563490126848546,true,"[0.434775203475455, 0.23745467071147372, -9.999999997342295]",Success
false,2.15786581816704,true,"[0.4435956758450939, 0.24227201619325323, -9.999999997342295]",Success
false,2.159371627154399,true,"[0.4524161482147329, 0.24708936167503281, -9.999999997342295]",Success
false,2.1608653516208216,true,"[0.46123662058437187, 0.2519067071568124, -9.999999997342295]",Success
false,2.1623449678379036,true,"[0.47005709295401077, 0.2567240526385919, -9.999999997342295]",Success
false,2.163844077310152,false,"[0.4788775653236498, 0.26154139812037147, -9.999999997342295]",Success
false,2.165299809758825,true,"[0.48769803769328873, 0.26635874360215106, -9.999999997342295]",Success
false,2.1667556536010313,true,"[0.49651851006292763, 0.2711760890839306, -9.999999997342295]",Success
false,2.168201980700011,true,"[0.5053389824325666, 0.2759934345657101, -9.999999997342295]",Success
false,2.169637840243622,true,"[0.5141594548022055, 0.28081078004748966, -9.999999997342295]",Success
false,2.171110311887689,true,"[0.5229799271718445, 0.28562812552926925, -9.999999997342295]",Success
false,2.1725282559300774,true,"[0.5318003995414835, 0.2904454710110488, -9.999999997342295]",Success
false,2.173919224538054,true,"[0.5406208719111224, 0.2952628164928283, -9.999999997342295]",Success
false,2.17530880750874,true,"[0.5494413442807614, 0.3000801619746079, -9.999999997342295]",Success
