within_threshold,final_distance,convergence,perturbation,retcode
false,2.419079332194667,true,"[-0.03837921612037251, -0.020945593913966984]",Success
false,2.3941222298089433,true,"[-0.04720117803838854, -0.02576021105673763]",Success
false,2.374824556997415,true,"[-0.05602313995640457, -0.030574828199508276]",Success
false,2.359880258144766,true,"[-0.0648451018744206, -0.035389445342278926]",Success
false,2.34833708536525,true,"[-0.07366706379243664, -0.04020406248504957]",Success
false,2.3396727034250833,true,"[-0.08248902571045266, -0.04501867962782022]",Success
false,2.3327339173063226,true,"[-0.09131098762846869, -0.04983329677059086]",Success
false,2.327373890672044,true,"[-0.10013294954648472, -0.05464791391336151]",Success
false,2.323361713031881,true,"[-0.10895491146450074, -0.05946253105613216]",Success
false,2.3204759784519045,true,"[-0.11777687338251676, -0.0642771481989028]",Success
false,2.3183707492630603,true,"[-0.1265988353005328, -0.06909176534167345]",Success
false,2.3174565257066986,true,"[-0.13542079721854883, -0.07390638248444409]",Success
false,2.3170802231041963,true,"[-0.14424275913656487, -0.07872099962721474]",Success
false,2.3172739689726933,true,"[-0.15306472105458088, -0.08353561676998539]",Success
false,2.317686423181446,true,"[-0.16188668297259692, -0.08835023391275604]",Success
false,2.319475568440539,true,"[-0.17070864489061294, -0.09316485105552667]",Success
false,2.3214975144491286,true,"[-0.17953060680862898, -0.09797946819829734]",Success
false,2.3235878392031104,true,"[-0.188352568726645, -0.10279408534106797]",Success
false,2.3264737891783227,true,"[-0.19717453064466103, -0.10760870248383862]",Success
false,2.3292332429762492,true,"[-0.20599649256267705, -0.11242331962660926]",Success
false,2.332503411893946,true,"[-0.21481845448069306, -0.11723793676937991]",Success
false,2.336632947381392,true,"[-0.2236404163987091, -0.12205255391215056]",Success
false,2.3402501606132344,true,"[-0.23246237831672514, -0.1268671710549212]",Success
false,2.344705093954545,true,"[-0.24128434023474116, -0.13168178819769183]",Success
false,2.3486342851194415,true,"[-0.2501063021527572, -0.1364964053404625]",Success
false,2.3533009795588837,true,"[-0.25892826407077324, -0.14131102248323316]",Success
false,2.3583560071628025,true,"[-0.2677502259887892, -0.14612563962600378]",Success
false,2.3628759231461527,true,"[-0.27657218790680527, -0.15094025676877443]",Success
false,2.368053928618724,true,"[-0.2853941498248213, -0.15575487391154508]",Success
false,2.3729760822557813,true,"[-0.29421611174283735, -0.16056949105431573]",Success
false,2.378058750639728,true,"[-0.3030380736608534, -0.16538410819708638]",Success
false,2.3838044985641287,true,"[-0.3118600355788694, -0.170198725339857]",Success
false,2.38902704636847,true,"[-0.3206819974968855, -0.17501334248262768]",Success
false,2.393971018314001,true,"[-0.32950395941490146, -0.17982795962539833]",Success
false,2.3996173581453344,true,"[-0.3383259213329175, -0.18464257676816895]",Success
false,2.404758636506708,true,"[-0.3471478832509335, -0.1894571939109396]",Success
false,2.410442348808768,true,"[-0.3559698451689496, -0.19427181105371027]",Success
false,2.415417495448132,true,"[-0.36479180708696557, -0.1990864281964809]",Success
false,2.420642293472182,true,"[-0.3736137690049816, -0.20390104533925155]",Success
false,2.4262158253824984,true,"[-0.3824357309229976, -0.2087156624820222]",Success
false,2.4314870254296084,true,"[-0.39125769284101364, -0.21353027962479282]",Success
false,2.436797003959687,true,"[-0.4000796547590297, -0.2183448967675635]",Success
false,2.441576059419972,true,"[-0.4089016166770457, -0.22315951391033412]",Success
false,2.4469435269823494,true,"[-0.41772357859506176, -0.22797413105310477]",Success
false,2.4516674562595586,true,"[-0.42654554051307775, -0.23278874819587542]",Success
false,2.456721156988586,true,"[-0.43536750243109384, -0.23760336533864607]",Success
false,2.461296630016621,false,"[-0.4441894643491098, -0.2424179824814167]",Success
false,2.4665607105664957,true,"[-0.45301142626712587, -0.24723259962418737]",Success
false,2.47090504066407,false,"[-0.4618333881851419, -0.252047216766958]",Success
false,2.475954412074067,true,"[-0.4706553501031579, -0.25686183390972867]",Success
false,2.4805057016612744,true,"[-0.47947731202117394, -0.2616764510524993]",Success
false,2.484989136462211,true,"[-0.48829927393919004, -0.26649106819526996]",Success
false,2.4893313288666623,true,"[-0.49712123585720597, -0.27130568533804056]",Success
false,2.4936095063019,true,"[-0.505943197775222, -0.27612030248081126]",Success
false,2.497745377803908,true,"[-0.514765159693238, -0.28093491962358186]",Success
false,2.5017875251813417,false,"[-0.5235871216112541, -0.2857495367663525]",Success
false,2.5058453410436408,true,"[-0.5324090835292702, -0.2905641539091232]",Success
false,2.509654150167941,true,"[-0.5412310454472862, -0.2953787710518938]",Success
false,2.513608225240014,true,"[-0.5500530073653022, -0.30019338819466446]",Success
false,2.5171211297694214,true,"[-0.5588749692833181, -0.3050080053374351]",Success
false,2.520883329088287,true,"[-0.5676969312013342, -0.30982262248020576]",Success
false,2.5243930973761337,true,"[-0.5765188931193503, -0.3146372396229764]",Success
false,2.5277946929668795,true,"[-0.5853408550373662, -0.31945185676574706]",Success
false,2.5308734680801965,true,"[-0.5941628169553823, -0.3242664739085177]",Success
false,2.5343581671404793,true,"[-0.6029847788733984, -0.32908109105128835]",Success
false,2.537485217938222,true,"[-0.6118067407914144, -0.333895708194059]",Success
false,2.5404790788520235,true,"[-0.6206287027094304, -0.33871032533682965]",Success
false,2.543440220074568,true,"[-0.6294506646274464, -0.34352494247960025]",Success
false,2.546206774654395,true,"[-0.6382726265454625, -0.34833955962237095]",Success
false,2.549058663701512,true,"[-0.6470945884634786, -0.3531541767651416]",Success
false,2.55176414854782,true,"[-0.6559165503814945, -0.3579687939079122]",Success
