within_threshold,final_distance,convergence,perturbation,retcode
false,2.0434533277724736,false,"[-0.03785394684170228, -0.020674124031393838]",Success
false,2.04832397748585,false,"[-0.04667441921134123, -0.025491469513173395]",Success
false,2.053157583144381,false,"[-0.05549489158098018, -0.03030881499495295]",Success
false,2.05798762705529,false,"[-0.06431536395061913, -0.035126160476732504]",Success
false,2.062806558378041,false,"[-0.07313583632025808, -0.03994350595851206]",Success
false,2.0676086551448027,false,"[-0.08195630868989702, -0.04476085144029161]",Success
false,2.072393223607209,false,"[-0.09077678105953597, -0.049578196922071174]",Success
false,2.0771613131906737,false,"[-0.09959725342917493, -0.05439554240385073]",Success
false,2.08191235659084,false,"[-0.10841772579881387, -0.05921288788563028]",Success
false,2.0866460366167168,false,"[-0.11723819816845281, -0.06403023336740983]",Success
false,2.091366631586202,false,"[-0.12605867053809178, -0.06884757884918939]",Success
false,2.0960581053365215,false,"[-0.1348791429077307, -0.07366492433096894]",Success
false,2.1007614216543646,false,"[-0.14369961527736966, -0.0784822698127485]",Success
false,2.10543711991492,false,"[-0.1525200876470086, -0.08329961529452805]",Success
false,2.110099102483377,false,"[-0.16134056001664757, -0.08811696077630761]",Success
false,2.1147477330238726,false,"[-0.1701610323862865, -0.09293430625808716]",Success
false,2.1193829878881822,false,"[-0.17898150475592547, -0.09775165173986672]",Success
false,2.1240050182294112,false,"[-0.1878019771255644, -0.10256899722164628]",Success
false,2.12859915592466,false,"[-0.19662244949520336, -0.10738634270342584]",Success
false,2.133207155891353,false,"[-0.2054429218648423, -0.11220368818520539]",Success
false,2.137775060359583,false,"[-0.21426339423448124, -0.11702103366698494]",Success
false,2.142257838246494,false,"[-0.2230838666041202, -0.1218383791487645]",Success
false,2.1469005578049147,false,"[-0.23190433897375914, -0.12665572463054403]",Success
false,2.1514123713572157,false,"[-0.24072481134339807, -0.1314730701123236]",Success
false,2.1559689043338883,false,"[-0.24954528371303705, -0.13629041559410318]",Success
false,2.160491519223242,false,"[-0.258365756082676, -0.14110776107588271]",Success
false,2.164942819133805,false,"[-0.26718622845231493, -0.14592510655766228]",Success
false,2.169379653521283,false,"[-0.2760067008219539, -0.1507424520394418]",Success
false,2.1738968151892557,false,"[-0.28482717319159284, -0.1555597975212214]",Success
false,2.1783248136700126,false,"[-0.2936476455612318, -0.16037714300300093]",Success
false,2.182727764637149,false,"[-0.3024681179308707, -0.1651944884847805]",Success
false,2.1871043054192287,false,"[-0.31128859030050965, -0.17001183396656003]",Success
false,2.191451928738444,false,"[-0.32010906267014866, -0.17482917944833962]",Success
false,2.1957683564869312,false,"[-0.32892953503978756, -0.17964652493011915]",Success
false,2.200050186203498,false,"[-0.3377500074094265, -0.1844638704118987]",Success
false,2.2042917419363923,true,"[-0.34657047977906547, -0.18928121589367825]",Success
false,2.208411025181911,false,"[-0.3553909521487044, -0.19409856137545783]",Success
false,2.212654020118164,false,"[-0.3642114245183434, -0.1989159068572374]",Success
false,2.2166011681361857,false,"[-0.37303189688798233, -0.20373325233901693]",Success
false,2.2207916219998114,false,"[-0.3818523692576212, -0.2085505978207965]",Success
false,2.224734687908398,true,"[-0.3906728416272602, -0.21336794330257602]",Success
false,2.2286793592524896,false,"[-0.3994933139968992, -0.2181852887843556]",Success
false,2.2325233865042633,false,"[-0.4083137863665381, -0.22300263426613515]",Success
false,2.2362086213552037,false,"[-0.41713425873617704, -0.2278199797479147]",Success
false,2.2399395122153725,false,"[-0.425954731105816, -0.23263732522969424]",Success
false,2.2434727392951017,false,"[-0.43477520347545495, -0.23745467071147383]",Success
false,2.247029726413996,false,"[-0.44359567584509385, -0.24227201619325334]",Success
false,2.250397238172661,false,"[-0.45241614821473286, -0.24708936167503293]",Success
false,2.253680889320339,false,"[-0.4612366205843718, -0.2519067071568125]",Success
false,2.256825364355242,false,"[-0.4700570929540107, -0.256724052638592]",Success
false,2.259822385707066,false,"[-0.4788775653236497, -0.2615413981203716]",Success
false,2.2627217493141636,false,"[-0.4876980376932887, -0.26635874360215117]",Success
false,2.2654102222500727,false,"[-0.4965185100629276, -0.2711760890839307]",Success
false,2.268025784173385,true,"[-0.5053389824325666, -0.2759934345657103]",Success
false,2.2704395922954492,true,"[-0.5141594548022055, -0.28081078004748977]",Success
false,2.2726641863551675,false,"[-0.5229799271718444, -0.28562812552926936]",Success
false,2.274738475573437,false,"[-0.5318003995414834, -0.29044547101104895]",Success
false,2.276626219201384,true,"[-0.5406208719111223, -0.2952628164928285]",Success
false,2.278296694515937,false,"[-0.5494413442807613, -0.300080161974608]",Success
false,2.2797294029757804,false,"[-0.5582618166504002, -0.30489750745638755]",Success
false,2.281021540299695,true,"[-0.5670822890200392, -0.30971485293816714]",Success
false,2.2820459499997687,false,"[-0.5759027613896781, -0.31453219841994673]",Success
false,2.2828585487214856,false,"[-0.584723233759317, -0.3193495439017262]",Success
false,2.2834289402327093,false,"[-0.593543706128956, -0.3241668893835058]",Success
false,2.283753693627189,true,"[-0.602364178498595, -0.3289842348652854]",Success
false,2.2838208790548404,false,"[-0.6111846508682339, -0.3338015803470649]",Success
false,2.283630378754827,false,"[-0.6200051232378729, -0.3386189258288445]",Success
false,2.2831725626981556,false,"[-0.6288255956075117, -0.343436271310624]",Success
false,2.282452021150299,true,"[-0.6376460679771507, -0.3482536167924036]",Success
false,2.2814497276714163,false,"[-0.6464665403467897, -0.35307096227418316]",Success
false,2.2801674099473903,false,"[-0.6552870127164286, -0.3578883077559627]",Success
false,2.278580421063698,false,"[-0.6641074850860677, -0.36270565323774223]",Success
false,2.276723574896217,false,"[-0.6729279574557065, -0.3675229987195218]",Success
false,2.2746200520359903,false,"[-0.6817484298253454, -0.37234034420130135]",Success
false,2.272193023738945,false,"[-0.6905689021949845, -0.37715768968308094]",Success
false,2.2694180796997387,false,"[-0.6993893745646234, -0.3819750351648604]",Success
false,2.2672539620574903,false,"[-0.7082098469342624, -0.38679238064664]",Success
false,2.263018674413801,false,"[-0.7170303193039014, -0.3916097261284196]",Success
false,2.2593900590109075,false,"[-0.7258507916735403, -0.39642707161019913]",Success
false,2.2554755863687013,false,"[-0.7346712640431792, -0.4012444170919787]",Success
false,2.251256140577036,false,"[-0.7434917364128181, -0.4060617625737582]",Success
false,2.2467859279765268,false,"[-0.7523122087824571, -0.4108791080555378]",Success
false,2.241998474152873,false,"[-0.7611326811520961, -0.4156964535373174]",Success
false,2.236871998656768,false,"[-0.769953153521735, -0.4205137990190969]",Success
false,2.231551842630555,false,"[-0.7787736258913739, -0.42533114450087645]",Success
false,2.2258841140569574,false,"[-0.7875940982610129, -0.43014848998265603]",Success
false,2.219961503709512,false,"[-0.7964145706306518, -0.43496583546443557]",Success
false,2.213823692421671,false,"[-0.8052350430002908, -0.43978318094621516]",Success
false,2.2074053876031092,false,"[-0.8140555153699297, -0.44460052642799464]",Success
false,2.2007502975182627,false,"[-0.8228759877395687, -0.4494178719097742]",Success
